id,subseccion,idea,citas,veredicto,idea_real_fuente,evidencia_textual,refuerzo_pico
INTROE-SIT-01,Situacion en Ecuador,"MejiaCalle identifico linajes de Omicron por muestreo pasivo y Nanopore, con JN.1 en aguas antes que en clinica",MejiaCalle_2024,OK,,"""secuenciacion con Oxford Nanopore Technology... predominance of the Omicron variant""; ""JN.1 lineage was first detected in wastewater, preceding clinical"" (00331348-MejiaCalle, p.8/51)","PICOC[P: SARS-CoV-2/aguas residuales; I: muestreo pasivo+Nanopore, asignacion linajes; C: aguas vs clinica; O: deteccion adelantada; C: Quito, Ecuador] — ""As observed globally, the JN.1 lineage was first detected in wastewater, preceding its appearance in clinical samples by several months. The same phenomenon occurred in our study in Ecuador."" (MejiaCalle_2024, p.51)"
INTROE-SIT-02,Situacion en Ecuador,"Carencia de informacion genomica clinica en Ecuador (datos desactualizados, carga irregular en repositorios)",MejiaCalle_2024,OK,"La fuente lo plantea sobre comparacion GISAID/CoVariants, no como enunciado general.","""the data on circulating lineages in Ecuador...is only current up to July 15, 2024...whether all researchers...have uploaded their data, which limits the ability to compare"" (00331348-MejiaCalle, p.52)","PICOC[P: SARS-CoV-2, poblacion andina; I: vigilancia genomica; C: entre paises/HIC; O: cobertura/completitud de secuenciacion; C: Ecuador, LMIC andino] — ""Our study shows an uneven distribution of genomic surveillance efforts across the Andean countries of Colombia, Ecuador, Peru, and Bolivia."" (Bruno_2025, p.5)"
INTROE-SIT-03,Situacion en Ecuador,WBS da estimaciones poblacionales menos sesgadas que la prueba clinica y a menor costo,Karthikeyan_2022,OK,,"""provides less biased abundance estimates than clinical testing"" (p.1); ""more cost-effective than clinical sequencing"" (s41586-022-05049-6/Karthikeyan, p.7)","PICOC[P: comunidad conectada al alcantarillado; I: WBS; C: vs prueba clinica; O: menor sesgo poblacional; C: salud publica] — ""WBS does not suffer from limitations such as selective population sampling bias (i.e., the potential exclusion of members from some disadvantaged classes), does not suffer from testing fatigue and availability, and is not impacted by lags in clinical reporting"" (Parkins_2023, p.6)"
INTROE-SIT-04,Situacion en Ecuador,RSV y poliovirus son objetivos documentados de vigilancia ambiental,Asghar_2014;Hughes_2022;Bottcher_2025,OK,,"Titulos: ""Environmental Surveillance for Polioviruses...""; ""RSV RNA in Wastewater Settled Solids Reflects...Positivity""; ""cVDPV2 in wastewater samples""","PICOC[P: virus patogenos humanos (poliovirus, respiratorios) en aguas; I: vigilancia/secuenciacion dirigida; C: metagenomica vs enriquecimiento/amplicon; O: blancos documentados; C: WBE] — ""We compare genomic viral wastewater surveillance by untargeted shotgun deep-sequencing with hybrid-capture enrichment using a human respiratory virus probe panel, as well as WGS of a selection of human pathogenic viruses by targeted PCR amplification, including SARS-CoV-2 and poliovirus."" (Child_2023, p.3)"
INTROE-JUS-01,Justificacion,WBS flexible y economicamente viable; mas sostenible al integrar multiples blancos,Bubba_2023,OK,,"""inexpensive, flexible, anonymised, reliable, population-based tool for monitoring outbreaks""; ""surveillance for multiple pathogens...more cost-efficient and sustainable"" (microorganisms-11-02496/Bubba, p.1/8)","PICOC[P: multiples patogenos en aguas; I: WWS molecular; C: vigilancia de un solo blanco; O: costo-eficiencia y sostenibilidad; C: complemento a la clinica] — ""Combining efforts to use modern molecular-based wastewater surveillance for multiple pathogens to complement clinical surveillance will make the systems more cost-efficient and sustainable."" (Bubba_2023, p.8)"
INTROE-JUS-02,Justificacion,"Costo-utilidad canadiense: vigilancia ambiental de RSV domino a la clinica en todos los escenarios, a CAD$12,31/lactante",Mercier_2025,OK,,"""RSV-WEM dominated (lower costs and higher utilities)...in all scenario analyses"" (p.2); ""CAD$12.31 per infant"" (Mercier_2025, p.4)","PICOC[P: lactantes/RSV; I: monitoreo ambiental (WEM); C: WEM vs vigilancia clinica (CS); O: dominancia costo-utilidad robusta; C: Canada] — ""RSV-WEM dominated (lower costs and higher utilities) RSV-CS and remained unaltered in all scenario analyses."" (Mercier_2025, p.2)"
INTROE-JUS-03,Justificacion,"La vigilancia genomica de aguas es modelo para virus endemicos, recupera prevalencia de variantes sin muestras clinicas",Yousif_2023,OK,,"Titulo: ""...as a model for monitoring evolution of endemic viruses""; ""recovering the prevalence of local circulating variants, even when clinical samples are not available"" (s41467-023-41369-5/Yousif, p.1)","PICOC[P: SARS-CoV-2/virus endemico; I: genomica de aguas; C: sin muestras clinicas; O: recuperacion de prevalencia de variantes; C: entorno de ingreso medio] — ""wastewater genomics can support SARS-CoV-2 epidemiological investigations by reliably recovering the prevalence of local circulating variants, even when clinical samples are not available."" (Yousif_2023, p.1)"
INTROE-JUS-04,Justificacion,La temporada de varios virus respiratorios puede seguirse conjunta en un mismo flujo,Chan_2025,OK,,"""wastewater RNA concentrations of influenza A and B, RSV, human metapneumovirus, and SARS-CoV-2 from 175 treatment plants"" (Chan_2025, p.1)","PICOC[P: virus respiratorios (IAV/IBV, RSV, HMPV, SARS-CoV-2); I: monitoreo por aguas; C: seguimiento conjunto en un flujo; O: patrones estacionales; C: EE.UU., temporada respiratoria] — ""We used wastewater RNA concentrations of influenza A and B (IAV/IBV), respiratory syncytial virus (RSV), human metapneumovirus (HMPV), and SARS-CoV-2 from 175 treatment plants"" (Chan_2025, p.1)"
INTROE-JUS-05,Justificacion,El muestreo pasivo y Nanopore ya detectaron y caracterizaron SARS-CoV-2 en el sitio,MejiaCalle_2024,OK,,"""muestreo pasivo tipo torpedo...secuenciacion con Oxford Nanopore"" (00331348-MejiaCalle, p.8)","PICOC[P: SARS-CoV-2/aguas residuales; I: muestreo pasivo tipo torpedo + Nanopore/Freyja; C: vs muestreo convencional; O: deteccion y caracterizacion de variantes; C: PTAR Quitumbe, Quito] — ""Se utilizo un equipo de muestreo pasivo tipo torpedo para recolectar las muestras... el mismo que se coloco en colectores de aguas residuales de la PTAR Quitumbe, durante 24 horas semanales."" (MejiaCalle_2024, p.8)"
INTROE-JUS-06,Justificacion,Existen metodos dirigidos/enriquecimiento para virus humanos en aguas y protocolos para RSV y poliovirus,Child_2023;Le_2025;Asghar_2014,OK,,"""Hybrid-capture enrichment...amplicon sequencing gave high viral genome coverage"" (Child); ""nanopore sequencing...RSV using RSVTyper"" (Le); ""complete VP1 sequences...from sewage"" (Asghar)","PICOC[P: espectro de virus patogenos humanos en aguas; I: panel de sondas/enriquecimiento dirigido; C: dirigido vs metagenomico; O: monitoreo simultaneo eficiente; C: WBE] — ""With the design of a probe panel containing species of interest for WBE, this method could provide an efficient means of monitoring a spectrum of human pathogenic viruses simultaneously."" (Child_2023, p.2)"
INTROE-JUS-07,Justificacion,Ampliar a RSV/poliovirus incorpora blancos al flujo validado SIN requerir infraestructura ni inversion adicional,Child_2023;Le_2025;Asghar_2014,PARCIAL,"'Sin inversion adicional' es inferencia del autor, no en las fuentes. Apoyar en Mercier ('using existing WEM infrastructure') o suavizar.","Las fuentes respaldan la EXISTENCIA de metodos, no el costo cero.","PICOC[P: RSV/aguas; I: monitoreo ambiental sobre infraestructura ya instalada; C: sistema nuevo vs existente; O: costo evitado; C: programas WEM] — ""Scenarios included: amortization of RSV-WEM infrastructure costs over 5 years; using existing WEM infrastructure for RSV detection"" (Mercier_2025, p.2)"
INTROE-JUS-08,Justificacion,"Esquema ARTIC de RSV desarrollado con participacion de USFQ, compatible con Nanopore, produce genomas completos",Maloney_2025,PARCIAL,"USFQ es COAUTORA y valido/uso Nanopore (completitud 94,9/95,8%), pero el esquema ARTIC lo desarrolla Edimburgo (Rambaut). 'Desarrollado' sobreestima el rol.","""Institute of Microbiology, Universidad San Francisco de Quito"" (p.1); ""four used Nanopore (MDH, NVRL, UoN and USFQ)""; ""median genome completeness was 94.9% and 95.8% for RSV A and B"" (RSV_paper_Romel/Maloney, p.4)","PICOC[P: RSV A/B; I: esquema ARTIC de amplicones + Nanopore; C: Nanopore vs Illumina; O: completitud de genoma (94,9%/95,8%); C: multi-laboratorio, con USFQ] — ""For Nanopore, median genome completeness was 94.9% and 95.8% for RSV A and B respectively"" (Maloney_2025, p.4)"
INTROE-JUS-09,Justificacion,El estudio aporta lectura poblacional que complementa la clinica en contexto de informacion genomica local limitada,Yousif_2023;Bruno_2025,OK,,"""wastewater surveillance has emerged as a key tool to support clinical surveillance"" (Yousif); Bruno documenta disparidades regionales LMIC (bruno-2025)","PICOC[P: SARS-CoV-2, poblaciones LMIC; I: vigilancia genomica de aguas/regional; C: complementa la clinica; O: lectura poblacional ante info local limitada; C: LMIC] — ""unequal genomic surveillance in LMICs could jeopardize genomic sequencing efforts in developed countries."" (Bruno_2025, p.6)"
INTROE-JUS-10,Justificacion,"Instituciones de salud publica/saneamiento pueden evaluar sitios centinela, priorizar patogenos, planificar vigilancia en Quito",Parkins_2023;MejiaCalle_2024,OK,,"Titulo: ""Wastewater-Based Surveillance as a Tool for Public Health Action"" (parkins-2023, p.1)","PICOC[P: agentes infecciosos en cuencas de alcantarillado; I: sitios WBS centinela; C: entornos de recursos limitados vs HIC; O: priorizacion/planificacion de vigilancia; C: LMIC] — ""strategically implemented WBS sites in sentinel sewersheds would still have profound impacts in these resource-limited settings. In particular, WBS offers a cost-effective, real-time measure enabling an understanding of the local prevalence of individual infectious agents within these resource-constrained settings"" (Parkins_2023, p.39)"
INTROE-JUS-11,Justificacion,Grupos vulnerables ante RSV y comunidades expuestas a polio silencioso o variantes de SARS,Hughes_2022;Bottcher_2025;Crits_Christoph_2021,OK,,"""particularly for infants and immunocompromised or elderly"" (Hughes); ""cVDPV2...a wake-up call"" (Bottcher); ""Sewage Detects Regionally Prevalent Variants"" (Crits)","PICOC[P: lactantes y ninos <5 anos ante RSV; I: vigilancia; C: grupo vulnerable; O: carga de hospitalizacion; C: infeccion respiratoria comunitaria] — ""Up to 1%-2% of infants under 6 months with RSV are hospitalized, and RSV is responsible for up to a third of hospitalizations for acute respiratory infections (ARI) in children less than 5 years old"" (Hughes_2022, p.1)"
INTROE-PRO-01,Problema pregunta objetivos,Amplia de SARS hacia enterovirus y RSV por relevancia ambiental/respiratoria/comunitaria,MejiaCalle_2024;Asghar_2014;Hughes_2022;Le_2025,OK,,Antecedente (MejiaCalle p.8); polio ambiental (Asghar p.1); RSV en aguas (Hughes p.1); secuenciacion RSV (Le p.1),"PICOC[P: amplio rango de virus patogenos humanos; I: vigilancia genomica de aguas; C: ampliar desde SARS-CoV-2; O: viabilidad de nuevos blancos; C: metodos de la pandemia] — ""Genomic wastewater surveillance may therefore be plausible for a broad range of human pathogenic viruses, using similar methods to those deployed during the SARS-CoV-2 pandemic."" (Child_2023, p.2)"
INTROE-PRO-02,Problema pregunta objetivos,El poliovirus concentra el mayor interes sanitario y orienta la eleccion de VP1 como blanco,Asghar_2014,OK,,"""complete VP1 sequences of viruses isolated from sewage samples"" (asghar-2014, p.7)","PICOC[P: poliovirus (VDPV/Sabin); I: secuenciacion; C: VDPV vs Sabin OPV; O: eleccion de VP1 como blanco de tipificacion; C: erradicacion] — ""To differentiate VDPV from Sabin OPV strains, allowing confirmation of a VDPV and consideration of a response, the approximately 900-bp VP1 capsid region must be sequenced."" (Shaw_2022, p.1)"
INTROE-PRO-03,Problema pregunta objetivos,La deteccion y caracterizacion se interpretan segun posibilidades/limitaciones en matrices ambientales,Child_2023;Parkins_2023,OK,,"""untargeted shotgun sequencing was unsuitable...low virus concentrations in wastewater"" (Child, p.1)","PICOC[P: virus a baja concentracion en aguas; I: secuenciacion (shotgun vs dirigida); C: metodos frente a la matriz ambiental; O: limitaciones/posibilidades de deteccion; C: WBE] — ""untargeted shotgun sequencing was unsuitable for genomic monitoring of the low virus concentrations in wastewater samples analyzed in this study."" (Child_2023, p.1)"
