id,refuerzo_pico
MET-JUST-01,"PICOC[P: aguas residuales/comunidad; I: WBE con muestreo repetido; C: vs vigilancia clinica; O: tendencias temporales; C: vigilancia poblacional continua] — ""Build up trends if survey is done repeatedly"" (Sims_2020, p.3)"
MET-JUST-02,"PICOC[P: poblacion conectada al alcantarillado; I: analisis de aguas residuales agregadas; C: vs vigilancia clinica; O: deteccion de presencia y brotes; C: escala comunitaria en tiempo real] — ""WBE postulates that through the analysis of population pooled wastewater, infectious disease and resistance spread, the emergence of new disease outbreak to the community level can be monitored comprehensively and in real-time."" (Sims_2020, p.2)"
MET-JUST-03,"PICOC[P: SARS-CoV-2 en aguas residuales del DMQ; I: secuenciacion Oxford Nanopore + Freyja; C: vs vigilancia clinica hospitalaria; O: asignacion de linajes; C: antecedente local Quitumbe 2023-2024] — ""multiplex PCR was used for sequencing with Oxford Nanopore Technology. Bioinformatic analysis was conducted using Freyja. Results: A predominance of the Omicron variant was observed, with lineages such as HN.1, EG.5.1.6, XBB.1.5.1.5, and HV.1 detected."" (MejiaCalle_2024, p.10)"
MET-AREA-01,"PICOC[P: influente de la PTAR Quitumbe; I: muestreo del influente; C: —; O: caracterizacion del sitio centinela; C: DMQ, caudal urbano] — ""week in the incoming wastewater at the Quitumbe WWTP, where the flow rate is 75 L/s."" (MejiaCalle_2024, p.32)"
MET-MUES-01,"PICOC[P: ARN de SARS-CoV-2 en aguas residuales; I: muestreo pasivo con medio adsorbente (gasa); C: vs muestreo activo/puntual; O: muestra integrada; C: sitio centinela] — ""Passive sampling for SARS-CoV-2 RNA, which generally employs simple adsorption media (e.g., a classic Moore swab, using cotton, gauze, or tampons), is often less expensive and simpler to use for the actual sampler deployment component of the workflow"" (Parkins_2023, p.9)"
MET-MUES-02,"PICOC[P: analito viral en aguas residuales; I: muestreo pasivo; C: vs muestreo puntual (grab); O: menor limite de deteccion y mayor sensibilidad; C: aplicacion centinela] — ""Since they also concentrate the target analyte, they can effectively achieve a lower detection limit and better sensitivity than a grab sample (124), which can be appropriate for sentinel applications where the switch from non-detectable to detectable is the key monitoring objective"" (Parkins_2023, p.10)"
MET-PREC-01,"PICOC[P: poliovirus (PV1) en aguas residuales; I: concentracion secundaria por PEG/NaCl; C: entre cinco metodos de concentracion; O: recuperacion de PV1; C: vigilancia ambiental de virus entericos] — ""Of the five tested methods, PEG/NaCl precipitation and skimmed-milk flocculation resulted in the highest PV1 recoveries."" (Falman_2019, p.1)"
MET-PREC-02,"PICOC[P: virus en el pellet de aguas residuales; I: preconcentracion con solucion 2X PEG/NaCl; C: —; O: concentracion viral previa a extraccion; C: protocolo local Quitumbe] — ""by preparing a 2X PEG solution, following the protocol by Woods and Jones (2021), in this protocol, 20g of PEG and 3.48g of NaCl are added to a BOECO flask"" (MejiaCalle_2024, p.33)"
MET-EXTR-01,"PICOC[P: ARN viral en aguas residuales; I: preconcentracion PEG previa a extraccion con kit Quick-RNA Viral (Zymo); C: con vs sin PEG; O: recuperacion y deteccion del ARN viral; C: matriz ambiental] — ""PEG pre-concentration method improves the recovery and detection of viral RNA from wastewater."" (MejiaCalle_2024, p.39)"
MET-RTQ-01,"PICOC[P: SARS-CoV-2 en aguas residuales; I: RT-qPCR de blancos N (nucleocapside) del panel CDC; C: entre ensayos; O: deteccion molecular; C: vigilancia ambiental amplia] — ""especially CDC N1, N2 and N3, and E_Sarbeco have been used to detect SARS-CoV-2 in wastewater samples from the Netherlands"" (Ahmed_2020, p.7)"
MET-AMP-01,"PICOC[P: SARS-CoV-2 y otros patogenos en aguas residuales; I: secuenciacion por amplicones solapados (tiled-PCR); C: vs enriquecimiento por hibridacion y metagenomica; O: mayor cobertura de genoma a baja carga; C: matriz ambiental degradada] — ""Tiled-PCR sequencing led to further improvements in genome coverage compared to hybrid capture for severe acute respiratory syndrome coronavirus 2, enterovirus D68, norovirus GII, and human adenovirus F41 in wastewater samples."" (Child_2023, p.1)"
MET-POLIO-01,"PICOC[P: poliovirus en heces y muestras ambientales; I: PCR anidada de VP1 + secuenciacion Nanopore (DDNS); C: vs cultivo celular; O: secuencia VP1 completa en dias; C: confirmacion rapida] — ""(DDNS) of a nested VP1 PCR product direct from stool samples, observing a sensitivity of 88% to 99% across serotypes when compared to cell culture"" (Shaw_2022, p.2)"
MET-POLIO-02,"PICOC[P: poliovirus ambientales; I: secuenciacion de la region VP1 e ITD; C: entre cepas Sabin/derivadas; O: diferenciacion y clasificacion de cepas; C: pais con IPV] — ""Sequencing the complete viral protein 1 (VP1) capsid coding region, as well as intratypic differentiation (ITD), identified 3 Sabin type 1, 13 Sabin type 2, and 4 Sabin type 3 strains."" (Zurbriggen_2008, p.1)"
MET-POLIO-03,"PICOC[P: enterovirus/poliovirus; I: primera ronda de PCR anidada con cebadores pan-enterovirus (5'NCR/Cre); C: —; O: amplificacion del capside previo a VP1; C: protocolo DDNS] — ""capsid RT-PCR with Cre-R and 5'NCR primers in an RT-PCR, followed by pan-PV PCR using Q8/Y7 VP1 primers (Data Set S1)."" (Shaw_2020, p.6)"
MET-POLIO-04,"PICOC[P: poliovirus; I: segunda ronda de VP1 con cebadores Q8/Y7 modificados con codigos de barras; C: —; O: multiplexado y simplificacion de bibliotecas; C: secuenciacion Nanopore] — ""we sought to reduce the time and cost for nanopore sequencing library preparation by modifying these primers with either the addition of a barcode adaptor (VP1-BCA) or barcode (VP1-barcode) to allow immediate multiplexing of samples"" (Shaw_2020, p.3)"
MET-POLIO-05,"PICOC[P: poliovirus en muestras de heces y ambientales; I: deteccion molecular directa por PCR anidada + Nanopore; C: vs aislamiento en cultivo celular; O: reduccion de tiempos de confirmacion; C: vigilancia ambiental] — ""We present a nested PCR and nanopore sequencing protocol that allows rapid (<3 days) and sensitive direct detection and sequencing of polioviruses in stool and environmental samples."" (Shaw_2020, p.1)"
MET-RSV-01,"PICOC[P: RSV en muestras clinicas y ambientales; I: amplicones solapados + secuenciacion Nanopore; C: vs esquemas de amplicon largo/hibridacion; O: genomas completos con cargas variables; C: vigilancia clinica y ambiental] — ""we developed a short amplicon RSV sequencing protocol using nanopore sequencing that is effective for both patient samples as well as wastewater surveillance."" (Le_2025, p.2)"
