id,subseccion,idea,citas,veredicto,idea_real_fuente
INTROA-ANT-01,Antecedentes,WBE complementa la vigilancia clinica e integra senales de la comunidad conectada al alcantarillado,Sims_2020,OK,
INTROA-ANT-02,Antecedentes,El ARN de SARS-CoV-2 en aguas refleja circulacion comunitaria aun con limitaciones/retrasos de la clinica,Ahmed_2020;Medema_2020,OK,Medema FALTA en repo; cubierto por co-cita Ahmed.
INTROA-ANT-03,Antecedentes,"La secuenciacion paso de deteccion a vigilancia genomica (linajes, variantes, diversidad)",Crits_Christoph_2021,OK,
INTROA-ANT-04,Antecedentes,Vigilancia ambiental de poliovirus complementa PFA y detecta circulacion silenciosa,Asghar_2014,OK,
INTROA-ANT-05,Antecedentes,El ARN de RSV se detecta en aguas y se relaciona con positividad clinica,Hughes_2022,OK,
INTROA-PRO-01,Problematica,"La vigilancia clinica: cobertura incompleta, pruebas limitadas, retrasos, sin registro de leves/asintomaticas",Bubba_2023;Parkins_2023,OK,Bubba respalda 'asintomaticas'; Parkins el resto. 'Retrasos' = inferencia razonable.
INTROA-PRO-02,Problematica,En COVID-19 los casos subestimaron la carga por pruebas limitadas y por la ola Omicron BA.1 que supero la capacidad diagnostica,Parkins_2023,OK,
INTROA-PRO-03,Problematica,WBS da vision representativa captando lo excretado con independencia de sintomas/atencion/diagnostico,Parkins_2023,OK,
INTROA-PRO-04,Problematica,"En LMIC: limitaciones de infraestructura, financiamiento, frecuencia de muestreo y vigilancia de variantes",Parkins_2023,OK,
INTROA-PRO-05,Problematica,Tasa de ataque clinico del poliovirus virulento <=1 caso por 100 infecciones,Zurbriggen_2008,OK,
INTROA-PRO-06,Problematica,"2024: cVDPV2 en 5 paises europeos, cepas relacionadas, circulacion mas amplia",Bottcher_2025,OK,
INTROA-PRO-07,Problematica,"RSV: alta carga en vulnerables, clinica confundible; ARN en aguas acompana actividad clinica",Hughes_2022,OK,
