id,subseccion,idea,citas,veredicto,idea_real_fuente,evidencia_textual,refuerzo_pico
INTROA-ANT-01,Antecedentes,WBE complementa la vigilancia clinica e integra senales de la comunidad conectada al alcantarillado,Sims_2020,OK,,"""WBE...has potential to act as a complementary approach for current infectious disease surveillance systems and an early warning system...through the analysis of population pooled wastewater...monitored comprehensively and in real-time"" (sims-2020, p.1)","PICOC[P: aguas residuales/SARS-CoV-2 en poblaciones monitoreadas / I: vigilancia WBS / O: correlacion con clinica e indicador adelantado] — ""not only did WBS-measured SARS-CoV-2 RNA correlate strongly with COVID-19 clinical disease within monitored populations but also, in fact, it functioned as a leading indicator"" (Parkins_2023, p.2)"
INTROA-ANT-02,Antecedentes,El ARN de SARS-CoV-2 en aguas refleja circulacion comunitaria aun con limitaciones/retrasos de la clinica,Ahmed_2020;Medema_2020,OK,Medema FALTA en repo; cubierto por co-cita Ahmed.,"""the model estimated a median range of 171 to 1,090 infected persons...in reasonable agreement with clinical observations"" (ahmed-2020, p.1)","PICOC[P: aguas residuales agrupadas de la poblacion / I: WBE / O: monitoreo comunitario integral y en tiempo real] — ""WBE postulates that through the analysis of population pooled wastewater, infectious disease and resistance spread, the emergence of new disease outbreak to the community level can be monitored comprehensively and in real-time"" (Sims_2020, p.1)"
INTROA-ANT-03,Antecedentes,"La secuenciacion paso de deteccion a vigilancia genomica (linajes, variantes, diversidad)",Crits_Christoph_2021,OK,,"""wastewater sequencing can provide evidence for recent introductions of viral lineages before they are detected by local clinical sequencing"" (crits-christoph-2021, p.1)","PICOC[P: SARS-CoV-2 en aguas residuales / I: secuenciacion/vigilancia genomica / O: mayor diversidad genetica y linajes / C: aguas vs clinica] — ""the genetic diversity of SARS-CoV-2 is significantly greater in wastewater samples than clinical samples"" (Karthikeyan_2022, p.102)"
INTROA-ANT-04,Antecedentes,Vigilancia ambiental de poliovirus complementa PFA y detecta circulacion silenciosa,Asghar_2014,OK,,"""ES complements clinical acute flaccid paralysis (AFP) surveillance...can assist in identifying residual WPV transmission...among those who are asymptomatically infected and not showing clinical signs of paralysis"" (asghar-2014, p.1-2)","PICOC[P: poliovirus en aguas residuales / I: vigilancia ambiental / C: complemento de la vigilancia clinica de PFA, contexto GPEI] — ""Since 2016, the initiative has invested heavily in environmental surveillance in low-income and middle-income countries as a supplement to surveillance for cases of acute flaccid paralysis."" (Klapsa_2022, p.1532)"
INTROA-ANT-05,Antecedentes,El ARN de RSV se detecta en aguas y se relaciona con positividad clinica,Hughes_2022,OK,,"""RSV genomic ribonucleic acid can be detected in wastewater settled solids...strongly associated (Kendall's tau = 0.65-0.77, p<10-7) with clinical positivity rates for RSV"" (hughes, p.1)","PICOC[P: aguas residuales/ARN de RSV / I: medicion y comparacion con vigilancia (EBAR-WBE) / O: correlacion con positividad y hospitalizacion clinica / C: EE.UU. 2022-2023] — ""We measured RSV RNA concentrations in wastewater solids from 176 sites during the 2022-2023 RSV season and compared those to publicly available RSV infection positivity and hospitalization rates... RSV RNA concentration aggregated at state and national levels correlated with infection positivity and hospitalization rates"" (Zulli_2024, p.1657)"
INTROA-PRO-01,Problematica,"La vigilancia clinica: cobertura incompleta, pruebas limitadas, retrasos, sin registro de leves/asintomaticas",Bubba_2023;Parkins_2023,OK,Bubba respalda 'asintomaticas'; Parkins el resto. 'Retrasos' = inferencia razonable.,"Bubba: ""particularly if the pathogens...circulate largely asymptomatically...unlikely to be noted in case-based testing"" (microorganisms-11-02496, p.2); Parkins: ""underestimates the true burden...given the limited availability of testing"" (p.3)","PICOC[P: poblacion / I: vigilancia clinica basada en enfermos / O: no representativa, casos asintomaticos no registrados] — ""a small proportion of the population who are ill and hence not representative of the population as a whole, as many people can be carriers of a disease or a resistance gene and not experience symptoms (asymptomatic in case of diseases)"" (Sims_2020, p.9)"
INTROA-PRO-02,Problematica,En COVID-19 los casos subestimaron la carga por pruebas limitadas y por la ola Omicron BA.1 que supero la capacidad diagnostica,Parkins_2023,OK,,"""underestimates the true burden...the limited role of clinical testing later in the pandemic, particularly since the onset of the Omicron BA.1 wave, which spread so rapidly that it exceeded clinical testing capacity"" (parkins, p.3)","PICOC[P: SARS-CoV-2 / I: pruebas clinicas (comparacion con aguas) / O: inviable a escala y con sesgos por capacidad limitada / C: recursos limitados] — ""Inferring lineage prevalence by clinical testing is infeasible at scale, especially in areas with limited resources, participation, or testing and/or sequencing capacity, which can also introduce biases"" (Karthikeyan_2022, p.101)"
INTROA-PRO-03,Problematica,WBS da vision representativa captando lo excretado con independencia de sintomas/atencion/diagnostico,Parkins_2023,OK,,"""unique ability to monitor an entire population (irrespective of symptoms or the ability to access clinical testing) objectively, passively, and comprehensively"" (parkins, p.2)","PICOC[P: comunidad / I: WBE como vigilancia complementaria / O: informacion rapida sobre enfermedades presentes en la comunidad] — ""WBE could be utilised as a complementary surveillance technique which can give rapid, reliable information on a population that can inform what diseases are present in a community and could aid in monitoring disease outbreaks"" (Sims_2020, p.8)"
INTROA-PRO-04,Problematica,"En LMIC: limitaciones de infraestructura, financiamiento, frecuencia de muestreo y vigilancia de variantes",Parkins_2023,OK,,"""differences between LMIC and HIC programs generally relate to financial support, which limited the frequency...and precluded more advanced investigations such as those to detect and monitor emerging variants"" (parkins, p.39)","PICOC[P: aguas residuales en regiones de recursos limitados (LMIC) / I: vigilancia de SARS-CoV-2 / C: infraestructura deficiente / O: retos por alcantarillado envejecido] — ""there are environmental and socioeconomic factors that need to be considered prior to introducing SARS-CoV-2 wastewater surveillance into resource-limited regions. For example, the aging and defects of sewage collection infrastructures constitute challenges that could increase uncollected municipal wastewater portions, degree of stormwater dilution, and sewer retention time"" (Sangsanont_2022, p.2)"
INTROA-PRO-05,Problematica,Tasa de ataque clinico del poliovirus virulento <=1 caso por 100 infecciones,Zurbriggen_2008,OK,,"""the low clinical attack rate following infection with virulent polioviruses (<=1:100 paralytic case/infections)"" (zurbriggen-2008, p.1)","PICOC[P: poliovirus virulento / I: vigilancia (herramientas de rastreo viral) / O: baja tasa de ataque clinico <=1 caso paralitico por 100 infecciones / C: GPEI] — ""the low clinical attack rate following infection with virulent polioviruses (<=1:100 paralytic case/infections). This calls for specific and sensitive virus-tracking tools."" (Zurbriggen_2008, p.5608)"
