clave,estado,categoria,archivo,nota
Sims_2020,EN_REPO,sustantiva,Recursos/fuentes/Sars-cov2/sims-2020-wbe-future-perspectives.pdf,Descargado (PMC7128895) en esta auditoria.
Ahmed_2020,EN_REPO,sustantiva,Recursos/fuentes/Sars-cov2/ahmed-2020-first-detection-sarscov2-wastewater-australia.pdf,Descargado (PMC7165106) en esta auditoria.
Medema_2020,EN_REPO,sustantiva,Recursos/fuentes/Sars-cov2/medema.pdf,"Descargado preprint medRxiv (10.1101/2020.03.29.20045880); mismos autores/datos que ESTLett. Verificado en auditoria."
Asghar_2014,EN_REPO,sustantiva,Recursos/fuentes/polio/asghar-2014-environmental-surveillance-poliovirus-gpei.pdf,Descargado (PMC10578309) en esta auditoria.
Crits_Christoph_2021,EN_REPO,sustantiva,Recursos/fuentes/Sars-cov2/crits-christoph-2021-sewage-sequencing-variants.pdf,Descargado (PMC7845645) en esta auditoria.
Islam_2025,FALTA,sustantiva,,"NO descargable (revista menor, bibliomed). RECOMENDAR reemplazo: los clados 24A/24H de JN.1 son asignacion Nextclade (fuente primaria) o via Bruno_2025."
Lu_2020,FALTA,metodologia,,Ensayo CDC N1/N2. Conseguir o tratar como primaria.
Arita_2015,FALTA,metodologia,,Cebadores pan-enterovirus 5'NTR/Cre. Conseguir.
Kilpatrick_2011,FALTA,metodologia,,Cebador Y7 (VP1). Conseguir.
Yang_1991,FALTA,metodologia,,Cebador Q8 (VP1). Conseguir.
OBrien_2021,FALTA,metodologia,,Comparacion extraccion ARN viral. Conseguir.
Schang_2021,FALTA,metodologia,,Validacion muestreo pasivo. Conseguir.
NEB_2020,FABRICANTE,fabricante,,New England Biolabs (protocolo online). OK sin PDF.
NEB_2021,FABRICANTE,fabricante,,New England Biolabs (protocolo online). OK sin PDF.
ONT_2025,FABRICANTE,fabricante,,Oxford Nanopore (protocolo online). OK sin PDF.
Zymo_2023,FABRICANTE,fabricante,,Zymo Research (protocolo kit). OK sin PDF.
WHO_2020,OFICIAL,oficial,,WHO bioseguridad (documento oficial online). OK.
Bruno_2025,EN_REPO,sustantiva,Recursos/fuentes/Sars-cov2/bruno-2025-andean-community-sarscov2.pdf,Descargado en esta auditoria; claim corregido.
