id,subseccion,idea,citas,veredicto,idea_real_fuente
MET-JUST-01,Justificacion y diseno del estudio,"Diseno observacional descriptivo longitudinal con muestreo semanal para detectar y caracterizar SARS-CoV-2, poliovirus y RSV",Parkins_2023,OK,"Parkins encuadra la WBS como herramienta poblacional continua; el descriptor 'observacional descriptivo longitudinal' es decision del autor, compatible con la fuente."
MET-JUST-02,Justificacion y diseno del estudio,"La WBS integra material excretado por individuos sintomaticos, presintomaticos y asintomaticos y habilita detectar presencia, tendencias temporales y diversidad genetica a escala comunitaria",Parkins_2023;Bubba_2023,PARCIAL,"Parkins soporta la inclusividad y la escala comunitaria pero la triada sintomatico/presintomatico/asintomatico es sintesis (no una sola frase). Bubba es de enterovirus no-polio (NPEV): respalda presencia y tendencias, no la 'diversidad genetica' de poliovirus de forma literal."
MET-JUST-03,Justificacion y diseno del estudio,Antecedente local en la PTAR Quitumbe para SARS-CoV-2: factibilidad de recolectar material viral con dispositivo impreso en 3D y asignar linajes por secuenciacion Oxford Nanopore,MejiaCalle_2024,OK,
MET-AREA-01,Area y periodo de estudio,"El sitio centinela (pozo de entrada del influente) recibe aguas residuales de once barrios del DMQ, con caudal de 75 L/s",MejiaCalle_2024,OK,
MET-MUES-01,Estrategia de muestreo pasivo,"Dispositivo torpedo con gasa, membrana de nailon e hisopo, fijado en el pozo de entrada y sumergido 24 h, genera una muestra integrada en el tiempo",MejiaCalle_2024,OK,
MET-MUES-02,Estrategia de muestreo pasivo,"El muestreo pasivo ha sido validado para la recuperacion de ARN viral en aguas residuales, con mayor deteccion que el muestreo puntual en escenarios de baja carga",Schang_2021;Parkins_2023,PARCIAL,"Schang_2021 no esta en el repositorio (SIN_FUENTE), es la fuente central de la 'validacion'. Parkins solo respalda mayor sensibilidad frente al muestreo PUNTUAL (grab), no una 'validacion': el propio Parkins la califica como equivoca frente a muestreo compuesto y lista limitaciones."
MET-PREC-01,Preconcentracion viral,La precipitacion con PEG es un metodo de concentracion secundaria evaluado para la deteccion de virus entericos y poliovirus en aguas residuales,Falman_2019,OK,
MET-PREC-02,Preconcentracion viral,"Protocolo de preconcentracion PEG: solucion 2X (20 g PEG + 3,48 g NaCl en 200 mL), homogeneizacion en Stomacher 2 min a 200 rpm, pellet resuspendido en DNA/RNA Shield 2X",MejiaCalle_2024,OK,
MET-EXTR-01,Extraccion de ARN,En estudios comparativos de extraccion de ARN viral en aguas residuales el kit Quick-RNA Viral (Zymo) mostro una recuperacion eficiente con preservacion del ARN,Zymo_2023;OBrien_2021,SIN_FUENTE,"La afirmacion comparativa ('recuperacion eficiente con preservacion') descansa en OBrien_2021, que NO esta en el repositorio. Zymo_2023 es protocolo de fabricante y solo cubre el uso del kit, no la comparacion."
MET-RTQ-01,Deteccion molecular de SARS-CoV-2 por RT-qPCR,Los blancos N1 y N2 del panel CDC (gen de la nucleocapside) se emplean de forma amplia para la deteccion de SARS-CoV-2 en aguas residuales; el control RP verifica la integridad del procesamiento,Lu_2020;Ahmed_2020;MejiaCalle_2024,PARCIAL,Lu_2020 (ensayo CDC N1/N2) NO esta en el repositorio (SIN_FUENTE). Ahmed_2020 respalda el uso AMPLIO de N1/N2 en aguas residuales solo en su discusion (citando a Medema/Wu); Ahmed NO uso N1/N2 sino los ensayos N_Sarbeco y NIID. MejiaCalle si empleo la mezcla N1/N2/RP.
MET-AMP-01,Amplificacion genomica multiplex de SARS-CoV-2,La amplificacion por paneles de amplicones aumenta la recuperacion de genoma a partir de ARN degradado o baja abundancia; la adaptacion de ARTIC a la matriz ambiental alcanza cobertura casi completa del genoma de SARS-CoV-2 a partir de cargas bajas,Barbe_2022;Child_2023;Crits_Christoph_2021,PARCIAL,"Barbe_2022 respalda ARTIC en aguas residuales con cobertura casi completa (hasta ~90%), pero solo evaluo cargas 1e4-1e6 (no cargas muy bajas). Child_2023 respalda que el metodo dirigido supera al metagenomico a bajas concentraciones. Crits-Christoph_2021 esta MAL ATRIBUIDO: no uso ARTIC sino un enfoque metatranscriptomico/oligo-captura, y ademas CONTRADICE 'cobertura casi completa a baja carga' (genomas completos solo con Ct<33)."
MET-POLIO-01,Deteccion y amplificacion de poliovirus por PCR anidada de VP1,El protocolo DDNS amplifica la region VP1 mediante una PCR anidada seguida de secuenciacion Nanopore,Shaw_2020;Shaw_2022_protocol,OK,Shaw_2020 describe integramente el metodo (PCR anidada + nanopore de VP1); el acronimo 'DDNS' no aparece literalmente en Shaw_2020. Shaw_2022_protocol apunta al mismo PDF de Shaw_2020 en el mapa (posible duplicado).
MET-POLIO-02,Deteccion y amplificacion de poliovirus por PCR anidada de VP1,"La region VP1 es la diana de referencia para diferenciar poliovirus Sabin-like, salvaje y derivado de vacuna, y para establecer relaciones geneticas entre eventos ambientales",Asghar_2014;Zurbriggen_2008,PARCIAL,Zurbriggen_2008 respalda VP1 para caracterizar/diferenciar (Sabin-like/VDPV por %divergencia) y relaciones geneticas. Asghar_2014 usa VP1 para filogenia y relaciones geneticas pero NO enuncia explicitamente que VP1 diferencie las tres categorias (Sabin/salvaje/derivado).
MET-POLIO-03,Deteccion y amplificacion de poliovirus por PCR anidada de VP1,La primera ronda de la PCR anidada emplea cebadores pan-enterovirus dirigidos a las regiones 5'NTR y Cre,Arita_2015,SIN_FUENTE,"Arita_2015 no esta en el repositorio. El contenido, sin embargo, si aparece respaldado en Shaw_2020 (citado en la seccion): pan-EV con primers 5'NCR y Cre-R."
MET-POLIO-04,Deteccion y amplificacion de poliovirus por PCR anidada de VP1,"La segunda ronda amplifica VP1 con los cebadores Y7 (Kilpatrick) y Q8 (Yang), que pueden incorporar codigos de barras para simplificar la preparacion de bibliotecas",Kilpatrick_2011;Yang_1991;Shaw_2020;Shaw_2022_protocol,PARCIAL,"Kilpatrick_2011 (Y7) y Yang_1991 (Q8) NO estan en el repositorio (SIN_FUENTE). No obstante, los nombres Q8/Y7 y el uso de codigos de barras estan respaldados por Shaw_2020, que si esta en el repo y tambien se cita aqui."
MET-POLIO-05,Deteccion y amplificacion de poliovirus por PCR anidada de VP1,El enfoque molecular directo reduce los tiempos de confirmacion frente a los flujos de aislamiento viral y resulta adecuado para vigilancia ambiental con baja tasa de deteccion clinica,Shaw_2022,PARCIAL,"La reduccion de tiempos frente al aislamiento esta bien respaldada (35 dias a ~16 con DDNS; cultivo requiere >=6-14 dias). La 'adecuacion para vigilancia ambiental con baja deteccion clinica' no es el marco de este paper, centrado en confirmacion de VDPV2 a partir de heces/AFP."
MET-RSV-01,Deteccion y amplificacion de RSV por PCR multiplex,La estrategia de amplicones solapados con secuenciacion por nanoporos ha sido validada para genomas completos de RSV en muestras clinicas y ambientales y recupera informacion de cargas variables,Le_2025,OK,
MET-RSV-02,Deteccion y amplificacion de RSV por PCR multiplex,"La inclusion de cebadores para RSV-A y RSV-B atiende la diversidad de subgrupos y clados, que requiere referencias adecuadas para evitar la perdida de lecturas durante el mapeo",Le_2025,OK,
MET-ELEC-01,Electroforesis y criterios de seleccion para secuenciacion,"Los productos ARTIC/VarSkip se evaluaron en gel de agarosa 1,5% con SYBR Safe como intercalante para visualizar el ADN",NEB_2021;Barbe_2022,FABRICANTE-OFICIAL,Paso de protocolo (visualizacion en gel). NEB_2021 = protocolo de fabricante; Barbe_2022 acompana como referencia metodologica del flujo ARTIC.
MET-ELEC-02,Electroforesis y criterios de seleccion para secuenciacion,"Las muestras con amplificacion insuficiente o Cq tardio se descartaron o reprocesaron, dado que la baja carga viral limita la recuperacion de informacion genomica util",MejiaCalle_2024;Child_2023,OK,
MET-BIBL-01,Preparacion de bibliotecas y secuenciacion por nanoporos,"Secuenciacion Oxford Nanopore con Native Barcoding Kit 96 V14 (SQK-NBD114.96) y celdas R10.4.1; end-repair, dA-tailing, barcoding nativo y limpieza con AMPure XP",ONT_2025;Barbe_2022,FABRICANTE-OFICIAL,Pasos de protocolo de preparacion de bibliotecas ONT. ONT_2025 = protocolo de fabricante; Barbe_2022 como referencia del flujo de secuenciacion por amplicones.
MET-BIBL-02,Preparacion de bibliotecas y secuenciacion por nanoporos,"La secuenciacion se ejecuto en GridION/MinION/PromethION con MinKNOW en tiempo real, habilitando basecalling, demultiplexacion y analisis posterior",ONT_2025;Dash_2024,FABRICANTE-OFICIAL,Descripcion de plataforma/software ONT (fabricante). Dash_2024 acompana como referencia general de NGS; no es afirmacion sustantiva discutible.
MET-BIBL-03,Preparacion de bibliotecas y secuenciacion por nanoporos,Para poliovirus la preparacion de bibliotecas siguio las indicaciones del protocolo DDNS aplicables a los amplicones de VP1,Shaw_2020;Shaw_2022_protocol,OK,
MET-BIOINF-01,Procesamiento y analisis bioinformatico,Para RSV la tipificacion se apoyo en flujos automatizados de genoma completo; para poliovirus el analisis se centro en la region VP1 (caracterizacion intratipica),Le_2025;Shaw_2020,OK,
MET-BIOINF-02,Procesamiento y analisis bioinformatico,"La tasa de error de la secuenciacion por nanoporos y la complejidad de la matriz ambiental exigen un control de calidad estricto (cobertura, profundidad y % de nucleotidos indeterminados)",Dash_2024;Child_2023,OK,Child respalda el efecto de la matriz/carga en la calidad (cobertura correlacionada con Ct); Dash_2024 (verificado en el mapa) cubre la tasa de error de nanoporos.
MET-CTRL-01,"Controles de calidad, controles experimentales e interpretacion",Las PCR multiplex incluyeron controles positivos y negativos para verificar el desempeno de la reaccion,NEB_2021,FABRICANTE-OFICIAL,Buenas practicas del protocolo multiplex del fabricante (controles + y -).
MET-CTRL-02,"Controles de calidad, controles experimentales e interpretacion","Las muestras con Cq tardio se trataron como evidencia de menor peso, dado que la baja carga, los inhibidores y el ARN degradado de las aguas residuales comprometen la amplificacion y la secuenciacion",Parkins_2023;MejiaCalle_2024,OK,
