id,refuerzo_pico
INTROA-ANT-01,"PICOC[P: aguas residuales/SARS-CoV-2 en poblaciones monitoreadas / I: vigilancia WBS / O: correlacion con clinica e indicador adelantado] — ""not only did WBS-measured SARS-CoV-2 RNA correlate strongly with COVID-19 clinical disease within monitored populations but also, in fact, it functioned as a leading indicator"" (Parkins_2023, p.2)"
INTROA-ANT-02,"PICOC[P: aguas residuales agrupadas de la poblacion / I: WBE / O: monitoreo comunitario integral y en tiempo real] — ""WBE postulates that through the analysis of population pooled wastewater, infectious disease and resistance spread, the emergence of new disease outbreak to the community level can be monitored comprehensively and in real-time"" (Sims_2020, p.1)"
INTROA-ANT-03,"PICOC[P: SARS-CoV-2 en aguas residuales / I: secuenciacion/vigilancia genomica / O: mayor diversidad genetica y linajes / C: aguas vs clinica] — ""the genetic diversity of SARS-CoV-2 is significantly greater in wastewater samples than clinical samples"" (Karthikeyan_2022, p.102)"
INTROA-ANT-04,"PICOC[P: poliovirus en aguas residuales / I: vigilancia ambiental / C: complemento de la vigilancia clinica de PFA, contexto GPEI] — ""Since 2016, the initiative has invested heavily in environmental surveillance in low-income and middle-income countries as a supplement to surveillance for cases of acute flaccid paralysis."" (Klapsa_2022, p.1532)"
INTROA-ANT-05,"PICOC[P: aguas residuales/ARN de RSV / I: medicion y comparacion con vigilancia (EBAR-WBE) / O: correlacion con positividad y hospitalizacion clinica / C: EE.UU. 2022-2023] — ""We measured RSV RNA concentrations in wastewater solids from 176 sites during the 2022-2023 RSV season and compared those to publicly available RSV infection positivity and hospitalization rates... RSV RNA concentration aggregated at state and national levels correlated with infection positivity and hospitalization rates"" (Zulli_2024, p.1657)"
INTROA-PRO-01,"PICOC[P: poblacion / I: vigilancia clinica basada en enfermos / O: no representativa, casos asintomaticos no registrados] — ""a small proportion of the population who are ill and hence not representative of the population as a whole, as many people can be carriers of a disease or a resistance gene and not experience symptoms (asymptomatic in case of diseases)"" (Sims_2020, p.9)"
INTROA-PRO-02,"PICOC[P: SARS-CoV-2 / I: pruebas clinicas (comparacion con aguas) / O: inviable a escala y con sesgos por capacidad limitada / C: recursos limitados] — ""Inferring lineage prevalence by clinical testing is infeasible at scale, especially in areas with limited resources, participation, or testing and/or sequencing capacity, which can also introduce biases"" (Karthikeyan_2022, p.101)"
INTROA-PRO-03,"PICOC[P: comunidad / I: WBE como vigilancia complementaria / O: informacion rapida sobre enfermedades presentes en la comunidad] — ""WBE could be utilised as a complementary surveillance technique which can give rapid, reliable information on a population that can inform what diseases are present in a community and could aid in monitoring disease outbreaks"" (Sims_2020, p.8)"
INTROA-PRO-04,"PICOC[P: aguas residuales en regiones de recursos limitados (LMIC) / I: vigilancia de SARS-CoV-2 / C: infraestructura deficiente / O: retos por alcantarillado envejecido] — ""there are environmental and socioeconomic factors that need to be considered prior to introducing SARS-CoV-2 wastewater surveillance into resource-limited regions. For example, the aging and defects of sewage collection infrastructures constitute challenges that could increase uncollected municipal wastewater portions, degree of stormwater dilution, and sewer retention time"" (Sangsanont_2022, p.2)"
INTROA-PRO-05,"PICOC[P: poliovirus virulento / I: vigilancia (herramientas de rastreo viral) / O: baja tasa de ataque clinico <=1 caso paralitico por 100 infecciones / C: GPEI] — ""the low clinical attack rate following infection with virulent polioviruses (<=1:100 paralytic case/infections). This calls for specific and sensitive virus-tracking tools."" (Zurbriggen_2008, p.5608)"
