id,subseccion,idea,citas,veredicto,idea_real_fuente,evidencia_textual,refuerzo_pico
MET-JUST-01,Justificacion y diseno del estudio,"Diseno observacional descriptivo longitudinal con muestreo semanal para detectar y caracterizar SARS-CoV-2, poliovirus y RSV",Parkins_2023,OK,"Parkins encuadra la WBS como herramienta poblacional continua; el descriptor 'observacional descriptivo longitudinal' es decision del autor, compatible con la fuente.","""Intrinsic to WBS is its unique ability to monitor an entire population (irrespective of symptoms or the ability to access clinical testing) objectively, passively, and comprehensively"" (parkins-2023, p.2)","PICOC[P: aguas residuales/comunidad; I: WBE con muestreo repetido; C: vs vigilancia clinica; O: tendencias temporales; C: vigilancia poblacional continua] — ""Build up trends if survey is done repeatedly"" (Sims_2020, p.3)"
MET-JUST-02,Justificacion y diseno del estudio,"La WBS integra material excretado por individuos sintomaticos, presintomaticos y asintomaticos y habilita detectar presencia, tendencias temporales y diversidad genetica a escala comunitaria",Parkins_2023;Bubba_2023,PARCIAL,"Parkins soporta la inclusividad y la escala comunitaria pero la triada sintomatico/presintomatico/asintomatico es sintesis (no una sola frase). Bubba es de enterovirus no-polio (NPEV): respalda presencia y tendencias, no la 'diversidad genetica' de poliovirus de forma literal.","""monitor an entire population (irrespective of symptoms...)"" (parkins-2023, p.2); ""Wastewater surveillance can be applied... to enable early detection of an introduction or emergence of pathogens (absence or presence) and to monitor their spread; secondly, to monitor the changes in transmission and prevalence"" (bubba/microorganisms-11-02496, sec.3.1)","PICOC[P: poblacion conectada al alcantarillado; I: analisis de aguas residuales agregadas; C: vs vigilancia clinica; O: deteccion de presencia y brotes; C: escala comunitaria en tiempo real] — ""WBE postulates that through the analysis of population pooled wastewater, infectious disease and resistance spread, the emergence of new disease outbreak to the community level can be monitored comprehensively and in real-time."" (Sims_2020, p.2)"
MET-JUST-03,Justificacion y diseno del estudio,Antecedente local en la PTAR Quitumbe para SARS-CoV-2: factibilidad de recolectar material viral con dispositivo impreso en 3D y asignar linajes por secuenciacion Oxford Nanopore,MejiaCalle_2024,OK,,"""used a passive 3D-printed device for sample collection... torpedo-like design"" (MejiaCalle-2024, p.31); ""multiplex PCR was used for sequencing with Oxford Nanopore Technology... lineages such as HN.1, EG.5.1.6, XBB.1.5.1.5, and HV.1 detected"" (MejiaCalle-2024, abstract)","PICOC[P: SARS-CoV-2 en aguas residuales del DMQ; I: secuenciacion Oxford Nanopore + Freyja; C: vs vigilancia clinica hospitalaria; O: asignacion de linajes; C: antecedente local Quitumbe 2023-2024] — ""multiplex PCR was used for sequencing with Oxford Nanopore Technology. Bioinformatic analysis was conducted using Freyja. Results: A predominance of the Omicron variant was observed, with lineages such as HN.1, EG.5.1.6, XBB.1.5.1.5, and HV.1 detected."" (MejiaCalle_2024, p.10)"
MET-AREA-01,Area y periodo de estudio,"El sitio centinela (pozo de entrada del influente) recibe aguas residuales de once barrios del DMQ, con caudal de 75 L/s",MejiaCalle_2024,OK,,"""serves 11 neighborhoods in the Metropolitan District of Quito... immersed for 24 hours once a week in the incoming wastewater at the Quitumbe WWTP, where the flow rate is 75 L/s"" (MejiaCalle-2024, p.32)","PICOC[P: influente de la PTAR Quitumbe; I: muestreo del influente; C: —; O: caracterizacion del sitio centinela; C: DMQ, caudal urbano] — ""week in the incoming wastewater at the Quitumbe WWTP, where the flow rate is 75 L/s."" (MejiaCalle_2024, p.32)"
MET-MUES-01,Estrategia de muestreo pasivo,"Dispositivo torpedo con gasa, membrana de nailon e hisopo, fijado en el pozo de entrada y sumergido 24 h, genera una muestra integrada en el tiempo",MejiaCalle_2024,OK,,"""A torpedo-type passive sampling device containing a nylon membrane, gauze..."" (MejiaCalle-2024, abstract); ""The samplers were immersed for 24 hours once a week"" (MejiaCalle-2024, p.32)","PICOC[P: ARN de SARS-CoV-2 en aguas residuales; I: muestreo pasivo con medio adsorbente (gasa); C: vs muestreo activo/puntual; O: muestra integrada; C: sitio centinela] — ""Passive sampling for SARS-CoV-2 RNA, which generally employs simple adsorption media (e.g., a classic Moore swab, using cotton, gauze, or tampons), is often less expensive and simpler to use for the actual sampler deployment component of the workflow"" (Parkins_2023, p.9)"
MET-MUES-02,Estrategia de muestreo pasivo,"El muestreo pasivo ha sido validado para la recuperacion de ARN viral en aguas residuales, con mayor deteccion que el muestreo puntual en escenarios de baja carga",Schang_2021;Parkins_2023,PARCIAL,"Schang_2021 no esta en el repositorio (SIN_FUENTE), es la fuente central de la 'validacion'. Parkins solo respalda mayor sensibilidad frente al muestreo PUNTUAL (grab), no una 'validacion': el propio Parkins la califica como equivoca frente a muestreo compuesto y lista limitaciones.","""they can effectively achieve a lower detection limit and better sensitivity than a grab sample... appropriate for sentinel applications"" (parkins-2023, p.10); ""Studies have reported discrepant results as to whether passive samplers have improved sensitivity compared to composite samplers"" (parkins-2023, p.10)","PICOC[P: analito viral en aguas residuales; I: muestreo pasivo; C: vs muestreo puntual (grab); O: menor limite de deteccion y mayor sensibilidad; C: aplicacion centinela] — ""Since they also concentrate the target analyte, they can effectively achieve a lower detection limit and better sensitivity than a grab sample (124), which can be appropriate for sentinel applications where the switch from non-detectable to detectable is the key monitoring objective"" (Parkins_2023, p.10)"
MET-PREC-01,Preconcentracion viral,La precipitacion con PEG es un metodo de concentracion secundaria evaluado para la deteccion de virus entericos y poliovirus en aguas residuales,Falman_2019,OK,,"""Evaluation of Secondary Concentration Methods for Poliovirus Detection in Wastewater... polyethylene glycol [PEG]/sodium chloride [NaCl] precipitation... PEG/NaCl precipitation and skimmed-milk flocculation resulted in the highest PV1 recoveries"" (falman-2019/s12560-018-09364-y, p.1)","PICOC[P: poliovirus (PV1) en aguas residuales; I: concentracion secundaria por PEG/NaCl; C: entre cinco metodos de concentracion; O: recuperacion de PV1; C: vigilancia ambiental de virus entericos] — ""Of the five tested methods, PEG/NaCl precipitation and skimmed-milk flocculation resulted in the highest PV1 recoveries."" (Falman_2019, p.1)"
MET-PREC-02,Preconcentracion viral,"Protocolo de preconcentracion PEG: solucion 2X (20 g PEG + 3,48 g NaCl en 200 mL), homogeneizacion en Stomacher 2 min a 200 rpm, pellet resuspendido en DNA/RNA Shield 2X",MejiaCalle_2024,OK,,"""20g of PEG and 3.48g of NaCl are added... filled with 200mL of nuclease-free water, and autoclaved... mixed in a Stomacher for 2 minutes at 200rpm... the remaining pellet is resuspended in 300uL of Shield2X"" (MejiaCalle-2024, p.33)","PICOC[P: virus en el pellet de aguas residuales; I: preconcentracion con solucion 2X PEG/NaCl; C: —; O: concentracion viral previa a extraccion; C: protocolo local Quitumbe] — ""by preparing a 2X PEG solution, following the protocol by Woods and Jones (2021), in this protocol, 20g of PEG and 3.48g of NaCl are added to a BOECO flask"" (MejiaCalle_2024, p.33)"
MET-EXTR-01,Extraccion de ARN,En estudios comparativos de extraccion de ARN viral en aguas residuales el kit Quick-RNA Viral (Zymo) mostro una recuperacion eficiente con preservacion del ARN,Zymo_2023;OBrien_2021,SIN_FUENTE,"La afirmacion comparativa ('recuperacion eficiente con preservacion') descansa en OBrien_2021, que NO esta en el repositorio. Zymo_2023 es protocolo de fabricante y solo cubre el uso del kit, no la comparacion.",,"PICOC[P: ARN viral en aguas residuales; I: preconcentracion PEG previa a extraccion con kit Quick-RNA Viral (Zymo); C: con vs sin PEG; O: recuperacion y deteccion del ARN viral; C: matriz ambiental] — ""PEG pre-concentration method improves the recovery and detection of viral RNA from wastewater."" (MejiaCalle_2024, p.39)"
MET-RTQ-01,Deteccion molecular de SARS-CoV-2 por RT-qPCR,Los blancos N1 y N2 del panel CDC (gen de la nucleocapside) se emplean de forma amplia para la deteccion de SARS-CoV-2 en aguas residuales; el control RP verifica la integridad del procesamiento,Lu_2020;Ahmed_2020;MejiaCalle_2024,PARCIAL,Lu_2020 (ensayo CDC N1/N2) NO esta en el repositorio (SIN_FUENTE). Ahmed_2020 respalda el uso AMPLIO de N1/N2 en aguas residuales solo en su discusion (citando a Medema/Wu); Ahmed NO uso N1/N2 sino los ensayos N_Sarbeco y NIID. MejiaCalle si empleo la mezcla N1/N2/RP.,"""Some of these assays, especially CDC N1, N2 and N3... have been used to detect SARS-CoV-2 in wastewater samples from the Netherlands (Medema et al., 2020) and USA (Wu et al., 2020a)"" (ahmed-2020, p.7); ""SARS-CoV-2 Primer/Probe Mix (N1/N2/RP)"" (MejiaCalle-2024, p.34)","PICOC[P: SARS-CoV-2 en aguas residuales; I: RT-qPCR de blancos N (nucleocapside) del panel CDC; C: entre ensayos; O: deteccion molecular; C: vigilancia ambiental amplia] — ""especially CDC N1, N2 and N3, and E_Sarbeco have been used to detect SARS-CoV-2 in wastewater samples from the Netherlands"" (Ahmed_2020, p.7)"
