id,subseccion,idea,citas,veredicto,idea_real_fuente,evidencia_textual,refuerzo_pico
CON-RES-01,Resumen,Clados 24A (JN.1/LZ.5/LU.2.1.1) y 24H (LF.7.1.3),MejiaCalle_2024;Crits_Christoph_2021,VAGA,Clados = salida Nextclade; citas no los contienen. Bruno menciona JN.1 dominante 2024.,"Bruno: ""23I (JN.1), the latest dominant along 2024"" (bruno-2025, p.4). Crits/MejiaCalle NO contienen 24A/24H.","PICOC[P: SARS-CoV-2 región andina / I: vigilancia genómica, linajes-clados / O: JN.1 dominante / C: Comunidad Andina] — ""evolving into multiple sub variants lineages like 22F, 23A, and 23I. This last lineage 23I (JN.1) has been dominant along 2024."" (Bruno_2025, p.4)"
CON-RES-02,Resumen,PCR anidada caracterizo Coxsackievirus A en dos muestras,Bubba_2023;Asghar_2014,OK,,Bubba documenta enterovirus/NPEV de interes en vigilancia ambiental (microorganisms-11-02496),"PICOC[P=aguas residuales/enterovirus; I=vigilancia molecular en aguas; O=coxsackievirus A detectado; C=cultivo/sewage] — ""The prevalence of CVAs in the SR was previously low in the sewage, although these viruses have also increased over the last 20 years"" (Kissova_2022, p.7)"
CON-RES-03,Resumen,"RSV: senal en 4 muestras, cobertura insuficiente para subgrupo",Le_2025;Hughes_2022,OK,,"Le: genomas solo con >10,000 copias/mL (s41598-025-20371-5, abstract)","PICOC[P=RSV en aguas residuales; I=subtipificación A/B por RT-PCR; C=cuantificación vs asignación de subtipo; O=muestra untypable si no hay señal detectable de A ni B] — ""Samples were considered to be untypable if both RSV A and RSV B were not detected."" (Zambrana_2024, p.7)"
CON-LIM-01,Limitaciones,Cq altos -> cobertura insuficiente -> separa deteccion de caracterizacion,Parkins_2023;Child_2023,OK,,"Child: la shotgun no dirigida es inadecuada a baja concentracion viral (child-et-al-2023, abstract)","PICOC[P=aguas residuales; I=RT-qPCR+secuenciación; O=cobertura/recuperación de genoma según Cq; C=contraste detección vs caracterización] — ""We obtained complete consensus SARS-CoV-2 genomes (breadth of coverage >99%) from 7 of 22 samples (31%)... Only samples with RT-qPCR CT values <33 (~25 genome copies/ml) yielded complete consensus genomes"" (Crits_Christoph_2021, p.3)"
CON-LIM-02,Limitaciones,Muestras retrospectivas (Shield 2X/PBS 1X) no rindieron secuencia -> degradacion,MejiaCalle_2024,PARCIAL,Buffers/fallo = dato propio; MejiaCalle da contexto.,(dato propio; MejiaCalle antecedente),"PICOC[P=aguas residuales; I=muestreo/procesamiento; O=integridad del ARN; C=contexto degradación/conservación] — ""The need to process samples immediately after device deployment to prevent RNA degradation is critical."" (MejiaCalle_2024, p.61)"
CON-LIM-03,Limitaciones,Diseno temporal con escaso solapamiento; SARS no analizado sem 43-56,(sin cita),SIN_FUENTE,,n/a (dato propio de diseno),"PICOC[P=aguas residuales; I=vigilancia genómica temporal; O=detección de linajes de baja frecuencia; C=contexto duración/muestreo sostenido] — ""cryptic lineages with lower viral loads may require more consistent and long-term monitoring to be effectively detected."" (MejiaCalle_2024, p.61)"
CON-LIM-04,Limitaciones,Datos genomicos clinicos limitados de SARS en Ecuador restringieron la comparacion,Bruno_2025,PARCIAL,"Bruno no dice 'limitados'; usar 12.619/1,15%.","Bruno: ""1.15% for Ecuador"" (bruno-2025, p.5) — no califica como 'limitado' textualmente","PICOC[P: SARS-CoV-2 / I: secuenciación genómica (GISAID) / C: entre países / O: disparidades/escasez de genomas / C: Comunidad Andina, LMIC] — ""The analysis of GISAID database revealed significant regional disparities in SARS-CoV-2 sequencing efforts"" (Bruno_2025, p.7)"
CON-LIM-05,Limitaciones,22 muestras de un sitio; sesgos de paneles dirigidos afectan variantes de baja abundancia,Child_2023,PARCIAL,"Child respalda limite de metodos dirigidos, no textual el 'sesgo de baja abundancia'.","Child: metodos dirigidos limitados a los objetivos y requieren conocimiento previo del genoma (child-et-al-2023, abstract)","PICOC[P=aguas residuales/mezclas; I=secuenciación dirigida+clasificación de linajes; O=variantes de baja abundancia no resueltas; C=contraste muestra clínica de variante única vs mezcla] — ""tools for SARS-CoV-2 lineage classification, such as pangolin and UShER, were designed for clinical samples containing a single dominant variant, and cannot estimate relative abundances of multiple SARS-CoV-2 lineages in samples with virus mixtures such as wastewater."" (Karthikeyan_2022, p.1)"
CON-LIM-06,Limitaciones,"Cebadores VP1 amplificaron VP4, no confirmaron serotipo",(sin cita),SIN_FUENTE,,n/a (dato propio de laboratorio),"PICOC[P=poliovirus/enterovirus; I=tipificación por secuenciación; O=serotipo definido por VP1; C=región genómica] — ""are sequenced for Viral Protein 1 region (VP1) (~900-nucleotide stretch) of the poliovirus genome following standardized procedures using standardized sequencing primer sets. VP1 region encodes several serotype specific antigenic sites"" (Martin_2016, p.28)"
CON-IMP-01,Importancia,3 virus con flujo comun confirma esquema multipatogeno y valor de la vigilancia ambiental,Bubba_2023;Asghar_2014;Parkins_2023,OK,,"Parkins: WBS ""irrespective of...clinical testing"" (parkins-2023, p.2)","PICOC[P=aguas residuales; I=vigilancia ambiental+secuenciación; O=detección temprana/respuesta de salud pública; C=contraste con vigilancia clínica] — ""Environmental surveillance allowed early detection of poliovirus importation and circulation in London, permitting a rapid public health response, including enhanced surveillance and an inactivated polio vaccine campaign among children aged 1–9 years."" (Klapsa_2022, p.1)"
CON-IMP-02,Importancia,Seleccionar por Cq y amplificar en PCR previa concentra el esfuerzo en muestras utiles,MejiaCalle_2024;Parkins_2023,OK,,Parkins: RT-qPCR y secuenciacion por amplicon-tiling; carga condiciona exito (parkins-2023),"PICOC[P=aguas residuales; I=RT-qPCR+secuenciación por amplicones; O=cobertura de genoma según Cq; C=selección de muestras útiles por carga] — ""High genome coverage breadth was obtained for SARS-CoV-2 across all samples with tiled-PCR amplification (Fig. 4a), which was significantly correlated with the Ct values from RT-qPCR"" (Child_2023, p.6)"
