id,subseccion,idea,citas,veredicto,idea_real_fuente,evidencia_textual,refuerzo_pico
INTROC-SARS-01,Virus de interes: SARS-CoV-2,"SARS-CoV-2 es betacoronavirus de Coronaviridae, con envoltura y genoma ssRNA(+) cercano a 30 kb, el mayor entre los virus de ARN; su espicula une ACE2 y causa COVID-19",Murray_2021,PARCIAL,"Murray solo respalda biologia generica del coronavirus (envuelto, ssRNA+, genoma de cadena + mas largo, 27000-30000 bases); NO menciona SARS-CoV-2, betacoronavirus, Coronaviridae, ACE2 ni COVID-19 (el capitulo es pre-pandemia: coronavirus del resfriado, SARS-CoV 2002 y MERS-CoV)","""El gran genoma de ARN de cadena positiva (27.000 a 30.000 bases)... poseen el genoma mas largo de acido ribonucleico (ARN) de cadena positiva"" (Murray 9a ed, p.472)","PICOC[P: SARS-CoV-2 (agente) / I: descripción estructural de la entrada viral / O: la espícula une el receptor ACE2 / C: biología del coronavirus] — ""The S protein protrudes from the host-derived viral envelope and provides specificity for cellular entry receptors via the angiotensin-converting enzyme 2."" (Parkins_2023, p.5)"
INTROC-SARS-02,Virus de interes: SARS-CoV-2,Omicron acumulo entre 26 y 32 mutaciones en la proteina de espicula,Zahmatkesh_2022,OK,,"""The Omicron variant is notable for having 26-32 mutations in the spike protein"" (Zahmatkesh 2022, hazadv)","PICOC[P: SARS-CoV-2 variante Ómicron / I: caracterización de mutaciones / O: 26–32 mutaciones en la espícula / C: emergencia de la variante] — ""The Omicron variant is notable for having 26–32 mutations in the spike protein."" (Zahmatkesh_2022, p.2)"
INTROC-SARS-03,Virus de interes: SARS-CoV-2,El seguimiento genomico de variantes se convirtio en prioridad de salud publica,Karthikeyan_2022,OK,,"""Timely and accurate quantification of local prevalence of SARS-CoV-2 variants is thus essential for effective public health"" (Karthikeyan 2022, s41586-022-05049-6, abstract)","PICOC[P: aguas residuales, SARS-CoV-2 y sus linajes / I: vigilancia epidemiológica basada en aguas residuales / O: detección temprana y monitoreo de la dinámica de linajes / C: comunidad] — ""Wastewater-based epidemiological surveillance has been considered a powerful tool for early detection and monitoring of the dynamics of SARS-CoV-2 and its lineages circulating in a community."" (Haque_2023, p.1)"
INTROC-SARS-04,Virus de interes: SARS-CoV-2,Los genes N1 y N2 de la nucleocapside se adoptaron de forma amplia como blancos de RT-qPCR para deteccion en aguas residuales,Ahmed_2020,NO,"Ahmed 2020 NO uso N1/N2: uso los ensayos N_Sarbeco y NIID_2019-nCoV_N. Ahmed atribuye N1/N2/N3 al CDC y a Medema (Paises Bajos), no a su propio estudio","""For the detection of SARS-CoV-2, the N_Sarbeco and NIID_2019-nCoV_N assays were used"" y ""CDC N1, N2 and N3... have been used to detect SARS-CoV-2 in wastewater samples from the Netherlands (Medema et al.)"" (ahmed-2020)","PICOC[P: SARS-CoV-2 en aguas residuales / I: RT-qPCR multiplex CDC N1/N2 / O: dos regiones distintas del gen N como blancos / C: vigilancia en Bangkok, LMIC] — ""The US CDC N1 and N2 multiplex RT-qPCR assays targeting two different regions of the SARS-CoV-2 N gene..."" (Sangsanont_2022, p.3)"
INTROC-SARS-05,Virus de interes: SARS-CoV-2,La secuenciacion identifica variantes regionalmente prevalentes cuando hay cobertura suficiente en las posiciones informativas,Crits_Christoph_2021,OK,,"""Genome Sequencing of Sewage Detects Regionally Prevalent SARS-CoV-2 Variants"" y ""genomic accuracy for recovery of consensus SARS-CoV-2 genomes so long as sufficient coverage is achieved"" (crits-christoph-2021)","PICOC[P: aguas residuales, SARS-CoV-2 / I: secuenciación metatranscriptómica / O: recuperación de linajes predominantes condicionada a cobertura suficiente / C: áreas servidas del norte de California] — ""Consensus genomes may represent predominant SARS-CoV-2 lineages in the population in the serviced areas during the summer of 2020. The results demonstrate genomic accuracy for recovery of consensus SARS-CoV-2 genomes so long as sufficient coverage is achieved in metatranscriptomic data sets."" (Crits_Christoph_2021, p.4)"
INTROC-SARS-06,Virus de interes: SARS-CoV-2,"Karthikeyan resolvio la estimacion de linajes en 295 dias en UCSD, alcanzo cobertura ~95% con cargas bajas, desarrollo Freyja (deconvolucion de proporcion de linajes) y detecto VOC hasta 14 dias antes que la clinica",Karthikeyan_2022,OK,,"""295-day wastewater and clinical sequencing effort"" / ""near 95% genome coverage even for samples with low viral load"" / ""we developed Freyja, a tool to estimate the relative abundance of virus lineages in a mixed sample"" / ""detected emerging variants of concern up to 14 days earlier in wastewater samples"" (Karthikeyan 2022)","PICOC[P: aguas residuales, SARS-CoV-2 VOC / I: secuenciación y deconvolución de linajes (Freyja) / O: detección de VOC hasta 14 días antes que la clínica / C: campus UCSD vs vigilancia genómica clínica] — ""We detected emerging variants of concern up to 14 days earlier in wastewater samples, and identified multiple instances of virus spread not captured by clinical genomic surveillance."" (Karthikeyan_2022, p.1)"
INTROC-SARS-07,Virus de interes: SARS-CoV-2,"En la PTAR Quitumbe se aplico Oxford Nanopore y Freyja para asignar linajes de Omicron desde muestreo pasivo, con deteccion ambiental de JN.1 antes de su identificacion clinica local",MejiaCalle_2024,OK,,"""la variante omicron, con linajes como HN.1, EG.5.1.6, XBB.1.5.1.5 y HV.1"" y ""the JN.1 lineage was first detected in wastewater, preceding its appearance in clinical samples by several months. The same phenomenon occurred in our study in Ecuador"" (00331348-MejiaCalle)","PICOC[P: aguas residuales PTAR Quitumbe, SARS-CoV-2 / I: muestreo pasivo, Nanopore y Freyja / O: JN.1 detectado antes que la identificación clínica / C: Quito, Ecuador (LMIC)] — ""Notably, the JN.1 lineage appeared during the infection peaks in Quito in October 2023 and February 2024, showing proportions similar to those found in circulating clinical samples from these periods and, in some cases, appearing even before clinical identification."" (MejiaCalle_2024, p.10)"
INTROC-RSV-01,Virus de interes: RSV,"RSV es virus con envoltura y genoma ssRNA de sentido negativo, de la familia Pneumoviridae",Murray_2021,PARCIAL,"Murray 9a ed clasifica al VRS en la familia PARAMYXOVIRIDAE (Tabla 48.1), subfamilia Pneumovirinae, genero Pneumovirus; NO usa la familia 'Pneumoviridae'. Envoltura y ssRNA(-) si estan OK","""Virion grande constituido por un genoma de ARN de sentido negativo en una nucleocapside helicoidal rodeada por una envoltura"" y Tabla 48.1 'Paramyxoviridae': ""Pneumovirus -> Virus respiratorio sincitial"" (Murray 9a ed, Cap.48)","PICOC[P: RSV como agente; caracterización virológica del patógeno] — ""RSV is an enveloped, single-stranded, negative-sense RNA virus that infects humans and has two subtypes, RSV A and RSV B"" (Zambrana_2024, p.2)"
INTROC-RSV-02,Virus de interes: RSV,Se diferencian dos subgrupos antigenicos RSV-A y RSV-B cuya predominancia alterna entre temporadas,Lansivaara_2024;Zambrana_2024,OK,,"""It has two subtypes, RSV A and RSV B, but little is known regarding the predominance of these subtypes during different seasons"" y ""typically one subtype predominates in a particular season"" (zambrana-et-al-2024)","PICOC[P: subgrupos RSV-A/RSV-B en población; C/O: alternancia de predominancia entre temporadas] — ""Multiple subtypes can circulate simultaneously within the population, with dominant subtypes typically shifting from year to year."" (Le_2025, p.2)"
INTROC-RSV-03,Virus de interes: RSV,En Estados Unidos RSV provoca hasta 80.000 hospitalizaciones pediatricas anuales,Zulli_2024,OK,,"""In the US, RSV annually accounts for up to 80,000 hospitalizations and over 520,000 emergency department visits in children under 5"" (Zulli 2024, observations RSV)","PICOC[P: RSV en EEUU; O: carga de hospitalización pediátrica anual] — ""Each year in the United States, RSV causes between 58,000 and 80,000 children hospitalizations and 6,000–10,000 older adult deaths"" (Zambrana_2024, p.1)"
