id,subseccion,idea,citas,veredicto,idea_real_fuente,evidencia_textual,refuerzo_pico
INTROD-RTqPCR-01,RT-qPCR,RT-qPCR combina transcripcion reversa del ARN viral a ADNc con amplificacion cuantitativa en tiempo real; la senal se estima por el Cq a partir de curvas estandar,Ahmed_2020;Medema_2020,OK,Descripcion de metodo que Ahmed instancia (no define textualmente cDNA/curva estandar),"""reverse transcriptase quantitative polymerase chain reaction (RT-qPCR)"" (ahmed-2020, p.1); ""the Cq (quantification cycle) value obtained acted as a reference point"" (ahmed-2020, p.3); ""The slope of the standards..."" (ahmed-2020, p.5)","PICOC[P: SARS-CoV-2/aguas; I: RT-qPCR cuantitativa; O: cuantificacion por curva estandar; C: vigilancia WBE] — ""For quantification, 5-point standard curves in duplicate were made by serial dilution of a SARS-CoV-2 RNA transcript (CNR des virus respiratoires, Pasteur Institute, Paris, France) for the IP4 PCR"" (Barbe_2022, p.3)"
INTROD-RTqPCR-02,RT-qPCR,Fue central desde los primeros reportes de SARS-CoV-2 en aguas residuales y sigue siendo el paso que confirma la presencia viral y decide que muestras avanzan a secuenciacion,Ahmed_2020;Medema_2020,PARCIAL,"Ahmed detecto SARS-CoV-2 en aguas residuales por RT-qPCR confirmado por secuenciacion, pero la secuenciacion fue para CONFIRMAR especificidad, no para SELECCIONAR muestras","""in Australia using RT-qPCR assay, confirmed by sequencing"" (ahmed-2020, p.1); ""we recommend sequencing RT-qPCR products for confirmation"" (ahmed-2020, p.6)","PICOC[P: SARS-CoV-2/aguas; I: RT-qPCR; C: primer reporte; O: deteccion positiva; C: primeros reportes en aguas] — ""viral RNA copies were enumerated using reverse transcriptase quantitative polymerase chain reaction (RT-qPCR) resulting in two positive detections within a six day period from the same wastewater treatment plant (WWTP)"" (Ahmed_2020, p.2)"
INTROD-RTqPCR-03,RT-qPCR,"Hughes aplico este esquema de controles en RSV en solidos sedimentados, con controles de recuperacion, evaluacion de inhibicion y normalizacion con PMMoV",Hughes_2022,PARCIAL,"Hughes uso PMMoV/BCoV como controles de recuperacion y normalizo por PMMoV, pero solo describe REMOCION de inhibidores, no una evaluacion de inhibicion","""PMMoV... is used here as an internal recovery and fecal strength control... BCoV was spiked... all samples were required to have greater than 10% BCoV recovery"" (hughes-2022, p.175); ""We repeated the analysis normalizing RSV RNA concentrations by PMMoV"" (hughes-2022, p.176); ""PCR inhibitor removal with the Zymo OneStep-96 PCR Inhibitor Removal kit"" (hughes-2022, p.174)","PICOC[P: RSV en solidos sedimentados; I: RT-qPCR con controles; O: normalizacion por PMMoV; C: aguas residuales] — ""Normalizing by PMMoV can serve to correct for sample-tosample changes in RNA extraction efficiency, concentrations during storage, or differences in the fecal strength of the"" (Hughes_2022, p.4)"
INTROD-RTqPCR-04,RT-qPCR,"En la PTAR Quitumbe, las muestras con Cq tardios rindieron menos en la secuenciacion (vinculo carga RT-qPCR / recuperacion genomica)",MejiaCalle_2024,OK,Coincide: 11 de 47 muestras no se secuenciaron por CT muy tardios,"""Of these, only 36 samples could be sequenced, as the remaining 11 samples had very late CT values, which prevented successful sequencing"" (MejiaCalle, p.45)","PICOC[P: SARS-CoV-2/aguas; I: RT-qPCR previo a secuenciacion; O: exito de secuenciacion ligado a Cq; C: PTAR Quitumbe] — ""Of these, only 36 samples could be sequenced, as the remaining 11 samples had very late CT values, which prevented successful sequencing"" (MejiaCalle_2024, p.45)"
INTROD-RTqPCR-05,RT-qPCR,La deteccion molecular se interpreta junto con los controles de calidad y las caracteristicas del flujo de procesamiento de cada muestra,Parkins_2023,OK,Sintesis sostenida por Parkins (metadatos + control interno por muestra),"""collection and use of wastewater-associated 'metadata' are often useful during quality assurance and data interpretation"" (parkins-2023, p.10); ""an internal control should be assessed in each sample"" (parkins-2023, p.18)","PICOC[P: aguas residuales; I: deteccion molecular con QC; O: control interno por muestra; C: WBS] — ""To assess the impact of these factors on reducing PCR efficiency, an internal control should be assessed in each sample"" (Parkins_2023, p.18)"
INTROD-PCRmultiple-01,PCR multiple,"La PCR multiple amplifica varios blancos; en vigilancia reduce el volumen de muestra, el costo y el tiempo de procesamiento",Le_2025,PARCIAL,"Le respalda menor costo y menor tiempo de los metodos por amplicones, no la reduccion de volumen de muestra","""amplicon-based methods are inexpensive to implement and can be performed with standard laboratory equipment"" (Le-2025, p.6); captura de hibridacion es ""more expensive to implement"" y ""more time-consuming"" (Le-2025, p.6)","PICOC[P: virus en aguas; I: PCR por amplicones/Nanopore; O: bajo costo y rapidez; C: entornos de recursos limitados] — ""Amplicon sequencing only requires a PCR cycler and cheap laboratory equipment. Nanopore sequencing requires no costly equipment, can be performed in small research laboratories or resource-limited settings and allows rapid analysis during sequencing"" (Le_2025, p.8)"
INTROD-PCRmultiple-02,PCR multiple,Child comparo metodos metagenomicos y dirigidos y observo que la secuenciacion por PCR de amplicones genero mayor cobertura de virus especificos que la metagenomica shotgun en muestras dominadas por bacterias,Child_2023,OK,Coincide plenamente,"""Deep shotgun metagenomic sequencing was unable to generate sufficient genome coverage of human pathogenic viruses for robust genomic epidemiology, with samples dominated by bacteria"" (child-2023, p.1); ""while amplicon sequencing gave high viral genome coverage, untargeted shotgun sequencing... was unable to detect human pathogenic viruses with enough sensitivity"" (child-2023, p.1)","PICOC[P: virus patogenos en aguas; I: amplicones vs metagenomica shotgun; C: dirigido vs no dirigido; O: mayor cobertura por amplicones; C: sewage dominado por bacterias] — ""while amplicon sequencing gave high viral genome coverage, untargeted shotgun sequencing of total nucleic acid samples was unable to detect human pathogenic viruses with enough sensitivity for use in genomic epidemiology"" (Child_2023, p.1)"
INTROD-PCRmultiple-03,PCR multiple,"Para RSV, Le aplico un panel de 39 amplicones solapados de aproximadamente 550 pb mediante secuenciacion Nanopore y analisis automatico",Le_2025,OK,39 amplicones y ~550 pb confirmados en el abstract,"""generating 39 amplicons ~ 550 bp in length"" (Le-2025, p.1); ""generating 39 overlapping amplicons"" (Le-2025, p.2); ""analyzed with the RSVTyper pipeline... automatic reference selection, consensus sequence generation and clade assignment via Nextclade"" (Le-2025, p.1)","PICOC[P: RSV en aguas/pacientes; I: multiplex tiling PCR 39 amplicones ~550 pb + Nanopore; O: analisis automatico; C: RSVTyper] — ""243 RSV isolates from 2008 to 2025 and wastewater samples from 2023/2024 were amplified in a multiplex tiling PCR with specific primers, generating 39 amplicons ~ 550 bp in length, and sequenced with Oxford Nanopore Technologies"" (Le_2025, p.1)"
INTROD-PCRmultiple-04,PCR multiple,"Un resultado positivo con Cq tardio requiere cautela cuando la carga es baja o hay inhibidores; un resultado negativo puede reflejar ausencia del blanco, perdida durante la extraccion o baja afinidad de los cebadores",Child_2023,PARCIAL,"Child no enmarca 'positivo con Cq tardio requiere cautela' ni liga Cq a inhibidores/carga baja; solo sostiene parcialmente causas del negativo (ausencia del blanco, degradacion/afinidad de cebadores). 'perdida durante la extraccion' no esta","""MeV and HAV were also absent... suggesting that they were not present in sufficient quantities for PCR detection"" (child-2023, p.7); ""nucleic acid degradation in wastewater samples, which can restrict the contiguous binding of primer pairs"" (child-2023, p.11)","PICOC[P: SARS-CoV-2/aguas; I: RT-qPCR/amplicones; O: falso negativo por inhibidores; C: matriz de aguas residuales] — ""Inhibitory substances in the sample can suppress PCR amplification partially or completely, resulting in incorrect quantification or false-negative results"" (Parkins_2023, p.19)"
INTROD-PCRmultiple-05,PCR multiple,"Los sesgos de amplificacion favorecen ciertas regiones o linajes y afectan variantes minoritarias, efecto que MejiaCalle asocio con los cambios de cebadores en Quitumbe",MejiaCalle_2024,OK,Coincide: cambio de cebadores impacto la deteccion de linajes,"""the change in primers used between March and July 2024, which impacted the detection of circulating lineages and led to the identification of primitive lineages"" (MejiaCalle, p.62); ""changes in primer recognition sites may have affected the results by targeting more conserved viral regions"" (MejiaCalle, p.47)","PICOC[P: SARS-CoV-2/aguas; I: cambio de cebadores en amplicones; O: sesgo en deteccion de linajes; C: PTAR Quitumbe] — ""from March 2024 to the first week of July 2024, different primers were used, resulting in the detection of primitive lineages"" (MejiaCalle_2024, p.58)"
