id,subseccion,idea,citas,veredicto,idea_real_fuente
INTROD-RTqPCR-01,RT-qPCR,RT-qPCR combina transcripcion reversa del ARN viral a ADNc con amplificacion cuantitativa en tiempo real; la senal se estima por el Cq a partir de curvas estandar,Ahmed_2020;Medema_2020,OK,Descripcion de metodo que Ahmed instancia (no define textualmente cDNA/curva estandar)
INTROD-RTqPCR-02,RT-qPCR,Fue central desde los primeros reportes de SARS-CoV-2 en aguas residuales y sigue siendo el paso que confirma la presencia viral y decide que muestras avanzan a secuenciacion,Ahmed_2020;Medema_2020,PARCIAL,"Ahmed detecto SARS-CoV-2 en aguas residuales por RT-qPCR confirmado por secuenciacion, pero la secuenciacion fue para CONFIRMAR especificidad, no para SELECCIONAR muestras"
INTROD-RTqPCR-03,RT-qPCR,"Hughes aplico este esquema de controles en RSV en solidos sedimentados, con controles de recuperacion, evaluacion de inhibicion y normalizacion con PMMoV",Hughes_2022,PARCIAL,"Hughes uso PMMoV/BCoV como controles de recuperacion y normalizo por PMMoV, pero solo describe REMOCION de inhibidores, no una evaluacion de inhibicion"
INTROD-RTqPCR-04,RT-qPCR,"En la PTAR Quitumbe, las muestras con Cq tardios rindieron menos en la secuenciacion (vinculo carga RT-qPCR / recuperacion genomica)",MejiaCalle_2024,OK,Coincide: 11 de 47 muestras no se secuenciaron por CT muy tardios
INTROD-RTqPCR-05,RT-qPCR,La deteccion molecular se interpreta junto con los controles de calidad y las caracteristicas del flujo de procesamiento de cada muestra,Parkins_2023,OK,Sintesis sostenida por Parkins (metadatos + control interno por muestra)
INTROD-PCRmultiple-01,PCR multiple,"La PCR multiple amplifica varios blancos; en vigilancia reduce el volumen de muestra, el costo y el tiempo de procesamiento",Le_2025,PARCIAL,"Le respalda menor costo y menor tiempo de los metodos por amplicones, no la reduccion de volumen de muestra"
INTROD-PCRmultiple-02,PCR multiple,Child comparo metodos metagenomicos y dirigidos y observo que la secuenciacion por PCR de amplicones genero mayor cobertura de virus especificos que la metagenomica shotgun en muestras dominadas por bacterias,Child_2023,OK,Coincide plenamente
INTROD-PCRmultiple-03,PCR multiple,"Para RSV, Le aplico un panel de 39 amplicones solapados de aproximadamente 550 pb mediante secuenciacion Nanopore y analisis automatico",Le_2025,OK,39 amplicones y ~550 pb confirmados en el abstract
INTROD-PCRmultiple-04,PCR multiple,"Un resultado positivo con Cq tardio requiere cautela cuando la carga es baja o hay inhibidores; un resultado negativo puede reflejar ausencia del blanco, perdida durante la extraccion o baja afinidad de los cebadores",Child_2023,PARCIAL,"Child no enmarca 'positivo con Cq tardio requiere cautela' ni liga Cq a inhibidores/carga baja; solo sostiene parcialmente causas del negativo (ausencia del blanco, degradacion/afinidad de cebadores). 'perdida durante la extraccion' no esta"
INTROD-PCRmultiple-05,PCR multiple,"Los sesgos de amplificacion favorecen ciertas regiones o linajes y afectan variantes minoritarias, efecto que MejiaCalle asocio con los cambios de cebadores en Quitumbe",MejiaCalle_2024,OK,Coincide: cambio de cebadores impacto la deteccion de linajes
INTROD-Secuenciacion-01,Secuenciacion (parrafo puente),La secuenciacion de Sanger (primera generacion) lee un solo fragmento por reaccion con longitud util de unos 700 a 900 pb y fue el estandar durante decadas,Dash_2024,OK,Coincide con matiz: el libro habla de deterioro de calidad tras 700-900 'bases' (no 'pares de bases') y ~40 anos como estandar
INTROD-Secuenciacion-02,Secuenciacion (parrafo puente),La NGS ejecuta de millones a miles de millones de reacciones en paralelo y reconstruye las lecturas por bioinformatica contra un genoma de referencia,Dash_2024,OK,Coincide
INTROD-Secuenciacion-03,Secuenciacion (parrafo puente),La secuenciacion profunda detecta variantes a frecuencias alelicas mas bajas que Sanger (linajes minoritarios en una muestra mezcla),Dash_2024,OK,Coincide (la frase 'linajes minoritarios/muestra mezcla' es interpretacion del autor; el libro afirma literalmente lo de frecuencia alelica)
INTROD-Secuenciacion-04,Secuenciacion (parrafo puente),"Segun la longitud de lectura, la NGS se divide en tecnologias de segunda generacion (lecturas cortas) y de tercera generacion (lecturas largas en tiempo real)",Dash_2024,OK,Coincide literalmente
INTROD-Nanopore-01,Nanopore (ONT),"ONT mide los cambios de corriente electrica generados cuando una molecula de acido nucleico atraviesa un nanoporo, y produce lecturas largas en tiempo real en dispositivos portatiles como el MinION",Dash_2024,OK,Coincide
