id,subseccion,idea,citas,veredicto,idea_real_fuente
DIS-DET-01,Deteccion molecular,El ARN viral en aguas residuales acompano la circulacion comunitaria aun con vigilancia clinica limitada,Ahmed_2020;Medema_2020,PARCIAL,Ahmed confirma deteccion y estimacion coherente con clinica; NO dice 'vigilancia clinica limitada'. Medema sin PDF.
DIS-DET-02,Deteccion molecular,Esquema multipatogeno en sitio centinela: ventaja con recursos limitados,Parkins_2023;Bubba_2023,OK,
DIS-CQ-01,Cq y secuenciacion,Muestras con Cq tardios menos eficientes para secuenciacion en PTAR Quitumbe,MejiaCalle_2024,OK,
DIS-CQ-02,Cq y secuenciacion,Cargas bajas y ARN fragmentado limitan la recuperacion genomica,Parkins_2023;Child_2023,PARCIAL,'ARN fragmentado' NO explicito en Parkins; verificar en Child.
DIS-CQ-03,Cq y secuenciacion,"Dimeros entre cebadores = causa principal del sesgo de cobertura, se acentua a baja carga",Itokawa_2020,OK,
DIS-CQ-04,Cq y secuenciacion,El valor de Cq fija el umbral practico donde la secuenciacion deja de ser informativa,Ahmed_2020,PARCIAL,"El umbral (Cq<33) es de Crits_Christoph_2021, no de Ahmed."
DIS-CQ-05,Cq y secuenciacion,"Dhaka: seleccion por Ct, cobertura 94.2-99.8% con Ct ORF1ab 28.8-32.1",Haque_2023,OK,
DIS-LIN-01,Linajes SARS,Clados 24A (JN.1/LZ.5/LU.2.1.1) y 24H (LF.7.1.3),Islam_2025,SIN_FUENTE,Sin PDF; clados = Nextclade (propio) o via Bruno.
DIS-LIN-02,Linajes SARS,JN.1 domino a comienzos de 2025 y LP.8.1 ganaba frecuencia en las Americas,Islam_2025,SIN_FUENTE,Sin PDF.
DIS-LIN-03,Linajes SARS,JN.1 en aguas de Quito reproduce el antecedente local (antes que en clinica),MejiaCalle_2024,OK,
DIS-LIN-04,Linajes SARS,La secuenciacion de aguas identifica variantes regionalmente prevalentes con cobertura suficiente,Crits_Christoph_2021,OK,
DIS-LIN-05,Linajes SARS,"Ecuador secuencio 12 619 genomas (2020-2024), 1.15% de casos",Bruno_2025,OK,
DIS-LIN-06,Linajes SARS,"Cayo a 744 en 2024, serie termina 2024 con JN.1 dominante, no cubre 2025",Bruno_2025,OK,
DIS-LIN-07,Linajes SARS,La senal ambiental aporta registro genomico local donde falta referente clinico,Parkins_2023,OK,
DIS-ENT-01,Enterovirus,OMS espera NPEV en >=30% de muestras concentradas y 10% de trampas,OReilly_2020;Bubba_2023,PARCIAL,El desglose 30/10% es de Bubba; O'Reilly da rango global 10-30%.
DIS-ENT-02,Enterovirus,"2 de 22 (9%), por debajo del 10%, refleja menor sensibilidad del muestreo pasivo",Rozanec_2026,OK,
DIS-ENT-03,Enterovirus,El esquema detecto enterovirus que la vigilancia de PFA no registra,Asghar_2014,OK,
DIS-ENT-04,Enterovirus,Ausencia de poliovirus concuerda con IPV en Ecuador y ausencia de circulacion,Zurbriggen_2008;Asghar_2014,NO,"Zurbriggen (Suiza, IPV) SI aislo poliovirus. Contradice 'ausencia'."
DIS-ENT-05,Enterovirus,"Canada 2022: VDPV2 99.4% VP1 vs caso de Nueva York, sin poliomielitis, excrecion por viajero",Seo_2025,PARCIAL,99.4% es vs Londres; vs Nueva York fue 99.0%.
DIS-ENT-06,Enterovirus,Cultivo no rindio; PCR anidada + Nanopore recuperaron la secuencia,Seo_2025,OK,
DIS-ENT-07,Enterovirus,La secuenciacion de VP1 diferencia cepas derivadas de vacuna de salvajes,Klapsa_2022,OK,
DIS-RSV-01,RSV,"Genomas completos de RSV exigen cargas altas, cobertura >10 000 copias/mL",Le_2025,OK,
DIS-RSV-02,RSV,RSV envuelto: recuperacion cae del 71% al 17% (ARN empaquetado vs desnudo),ToribioAvedillo_2024,OK,
DIS-RSV-03,RSV,RSV-A 32.6% vs RSV-B 2.4% en 8 plantas del sureste de Alemania; recuperacion depende de concentracion/extraccion,Geissler_2025,OK,
DIS-RSV-04,RSV,La asociacion RSV-aguas/comunidad proviene mas de cuantificacion que de secuenciacion,Hughes_2022,OK,
DIS-CONS-01,Conservacion,El rendimiento del muestreo pasivo dependio de integridad del ARN y eficiencia de recuperacion,MejiaCalle_2024,OK,
