id,subseccion,idea,citas,veredicto,idea_real_fuente,evidencia_textual,refuerzo_pico
DIS-DET-01,Deteccion molecular,El ARN viral en aguas residuales acompano la circulacion comunitaria aun con vigilancia clinica limitada,Ahmed_2020;Medema_2020,PARCIAL,Ahmed confirma deteccion y estimacion coherente con clinica; NO dice 'vigilancia clinica limitada'. Medema sin PDF.,"""the estimated range of infected individuals...was in reasonable agreement with clinical observations"" (ahmed-2020, p.5)","PICOC[P: ARN viral en aguas residuales/comunidad; I: vigilancia molecular WBE; C: vs vigilancia clinica; O: monitoreo de circulacion; C: poblacion con baja tasa de testeo clinico] — ""Wastewater pathogen surveillance has become a critical tool for epidemic preparedness, enabling the monitoring of emerging SARS-CoV-2 variants in populations with low clinical testing rates."" (MejiaCalle_2024, p.10)"
DIS-DET-02,Deteccion molecular,Esquema multipatogeno en sitio centinela: ventaja con recursos limitados,Parkins_2023;Bubba_2023,OK,,"""WBS is inexpensive, flexible, and provides a population-based tool"" (bubba/microorganisms-11-02496, abstract)","PICOC[P: multiples patogenos en agua; I: WBS en sitio centinela; C: vs diagnostico individual; O: medida costo-efectiva de prevalencia local; C: entornos de recursos limitados/LMIC] — ""In particular, WBS offers a cost-effective, real-time measure enabling an understanding of the local prevalence of individual infectious agents within these resource-constrained settings (where individual diagnostic testing may not be feasible for acutely ill patients...)"" (Parkins_2023, p.39)"
DIS-CQ-01,Cq y secuenciacion,Muestras con Cq tardios menos eficientes para secuenciacion en PTAR Quitumbe,MejiaCalle_2024,OK,,"""the remaining 11 had very late CT values, which prevented successful sequencing"" (00331348-MejiaCalle, p.45)","PICOC[P: muestras de aguas de PTAR; I: RT-qPCR + secuenciacion Nanopore; C: Cq tardios vs tempranos; O: menor eficiencia/calidad; C: PTAR Quitumbe] — ""observed CT values were relatively late, likely due to viral RNA fragmentation in the samples"" (MejiaCalle_2024, p.40)"
DIS-CQ-02,Cq y secuenciacion,Cargas bajas y ARN fragmentado limitan la recuperacion genomica,Parkins_2023;Child_2023,PARCIAL,'ARN fragmentado' NO explicito en Parkins; verificar en Child.,(pendiente cita literal de 'ARN fragmentado' en Child),"PICOC[P: virus en aguas residuales; I: PCR por amplicones/secuenciacion; C: baja carga y ARN fragmentado; O: fallo en recuperacion genomica; C: matriz de aguas residuales] — ""This suggests that IAV was both present at a very low concentration and highly fragmented in these samples, which likely explains the failure to generate amplicons"" (Child_2023, p.8)"
DIS-CQ-03,Cq y secuenciacion,"Dimeros entre cebadores = causa principal del sesgo de cobertura, se acentua a baja carga",Itokawa_2020,OK,,"""dimer formations between some primers are the major cause of coverage bias in the multiplex PCR"" + ""as sample's viral load become low, rapid decrease in abundances of several amplicons"" (sars_cov/Itokawa, p.1-3)","PICOC[P: SARS-CoV-2 en muestras de baja carga; I: PCR multiplex ARTIC; C: entre cargas virales; O: sesgo de cobertura por dimeros de cebadores; C: NGS] — ""a gradual increase in the overall coverage bias was observed as a sample's viral load decreased"" (Itokawa_2020, p.2)"
DIS-CQ-04,Cq y secuenciacion,El valor de Cq fija el umbral practico donde la secuenciacion deja de ser informativa,Ahmed_2020,PARCIAL,"El umbral (Cq<33) es de Crits_Christoph_2021, no de Ahmed.","""complete genomes...only recovered from samples with Ct < 33"" (crits-christoph-2021, p.3)","PICOC[P: SARS-CoV-2 en aguas residuales; I: RT-qPCR/umbral de Cq + secuenciacion; C: por debajo/encima del umbral; O: umbral Cq<33 para genoma completo; C: vigilancia genomica de aguas] — ""Only samples with RT-qPCR CT values <33 (~25 genome copies/ul) yielded complete consensus genomes (Fig. 1d)"" (Crits_Christoph_2021, p.3)"
DIS-CQ-05,Cq y secuenciacion,"Dhaka: seleccion por Ct, cobertura 94.2-99.8% con Ct ORF1ab 28.8-32.1",Haque_2023,OK,,"""ten samples with ORF1ab...cycle threshold (Ct) values ranging from 28.78 to 32.13 were subjected to whole genome sequencing using nanopore...coverage ranging from 94.2 to 99.8%"" (s40246-023-00505-4/Haque, p.1)","PICOC[P: aguas residuales Dhaka con Ct 28.78-32.13; I: seleccion por Ct + secuenciacion Nanopore; C: cobertura obtenida; O: 94-99.8% de cobertura genomica; C: LMIC/Bangladesh] — ""the recovery of > 94% genome coverage from wastewater indicates the efficiency of the study."" (Haque_2023, p.7)"
DIS-LIN-01,Linajes SARS,Clados 24A (JN.1/LZ.5/LU.2.1.1) y 24H (LF.7.1.3),Islam_2025,SIN_FUENTE,Sin PDF; clados = Nextclade (propio) o via Bruno.,"SIN PDF (Islam FALTA). Bruno: ""23I (JN.1), the latest dominant along 2024"" (bruno-2025, p.4)",sin refuerzo disponible
DIS-LIN-02,Linajes SARS,JN.1 domino a comienzos de 2025 y LP.8.1 ganaba frecuencia en las Americas,Islam_2025,SIN_FUENTE,Sin PDF.,SIN PDF (Islam FALTA),"PICOC[P: SARS-CoV-2 en agua/clinica; I: secuenciacion y asignacion de linajes; C: entre periodos; O: dominancia de JN.1; C: Americas/2024-2025] — ""variants lineages like 22F, 23A, and 23I (JN.1), the latest dominant along 2024."" (Bruno_2025, p.1)"
DIS-LIN-03,Linajes SARS,JN.1 en aguas de Quito reproduce el antecedente local (antes que en clinica),MejiaCalle_2024,OK,,"""the JN.1 lineage was first detected in wastewater, preceding its appearance in clinical samples"" (00331348-MejiaCalle, p.52)","PICOC[P: SARS-CoV-2 en aguas de Quito; I: secuenciacion de aguas vs clinica; C: aguas vs pacientes hospitalarios; O: JN.1 detectado incluso antes que en clinica; C: Quito, Ecuador 2023-2024] — ""the JN.1 lineage appeared during the infection peaks in Quito in October 2023 and February 2024, showing proportions similar to those found in circulating clinical samples from these periods and, in some cases, appearing even before clinical identification."" (MejiaCalle_2024, p.10)"
DIS-LIN-04,Linajes SARS,La secuenciacion de aguas identifica variantes regionalmente prevalentes con cobertura suficiente,Crits_Christoph_2021,OK,,"""Genome sequencing of sewage detects regionally prevalent SARS-CoV-2 variants"" (titulo); ""consensus genotypes identical to clinical genomes from the region"" (crits-christoph-2021, p.1/3)","PICOC[P: SARS-CoV-2 en aguas residuales; I: secuenciacion de aguas; C: vs deteccion clinica; O: deteccion temprana de variantes prevalentes; C: vigilancia comunitaria] — ""We detected emerging variants of concern up to 14 days earlier in wastewater samples,"" (Karthikeyan_2022, p.1)"
DIS-LIN-05,Linajes SARS,"Ecuador secuencio 12 619 genomas (2020-2024), 1.15% de casos",Bruno_2025,OK,,"""For Ecuador, a total number of 12,619 was obtained for the period of January 1st 2020 to December 31st 2024"" (p.4); ""1.15% for Ecuador"" (bruno-2025, p.5)","PICOC[P: casos de SARS-CoV-2 en Ecuador; I: secuenciacion genomica; C: genomas vs total de casos; O: 12,619 genomas = 1.15% de casos; C: Comunidad Andina 2020-2024] — ""For Ecuador, a total number of 12,619 was obtained for the period of January 1st 2020 to December 31st 2024"" (Bruno_2025, p.4)"
DIS-LIN-06,Linajes SARS,"Cayo a 744 en 2024, serie termina 2024 con JN.1 dominante, no cubre 2025",Bruno_2025,OK,,"""744 for 2024"" ; ""23I (JN.1) has been dominant along 2024"" (bruno-2025, p.4)","PICOC[P: genomas de SARS-CoV-2 de Ecuador; I: secuenciacion por ano; C: entre anos 2020-2024; O: caida a 744 en 2024, serie termina 2024; C: Ecuador] — ""distributed as 814 for 2020, 4,018 for 2021, 5,102 for 2022, 1,796 for 2023, and 744 for 2024."" (Bruno_2025, p.4)"
