id,subseccion,idea,citas,veredicto,idea_real_fuente
INTROC-SARS-01,Virus de interes: SARS-CoV-2,"SARS-CoV-2 es betacoronavirus de Coronaviridae, con envoltura y genoma ssRNA(+) cercano a 30 kb, el mayor entre los virus de ARN; su espicula une ACE2 y causa COVID-19",Murray_2021,PARCIAL,"Murray solo respalda biologia generica del coronavirus (envuelto, ssRNA+, genoma de cadena + mas largo, 27000-30000 bases); NO menciona SARS-CoV-2, betacoronavirus, Coronaviridae, ACE2 ni COVID-19 (el capitulo es pre-pandemia: coronavirus del resfriado, SARS-CoV 2002 y MERS-CoV)"
INTROC-SARS-02,Virus de interes: SARS-CoV-2,Omicron acumulo entre 26 y 32 mutaciones en la proteina de espicula,Zahmatkesh_2022,OK,
INTROC-SARS-03,Virus de interes: SARS-CoV-2,El seguimiento genomico de variantes se convirtio en prioridad de salud publica,Karthikeyan_2022,OK,
INTROC-SARS-04,Virus de interes: SARS-CoV-2,Los genes N1 y N2 de la nucleocapside se adoptaron de forma amplia como blancos de RT-qPCR para deteccion en aguas residuales,Ahmed_2020,NO,"Ahmed 2020 NO uso N1/N2: uso los ensayos N_Sarbeco y NIID_2019-nCoV_N. Ahmed atribuye N1/N2/N3 al CDC y a Medema (Paises Bajos), no a su propio estudio"
INTROC-SARS-05,Virus de interes: SARS-CoV-2,La secuenciacion identifica variantes regionalmente prevalentes cuando hay cobertura suficiente en las posiciones informativas,Crits_Christoph_2021,OK,
INTROC-SARS-06,Virus de interes: SARS-CoV-2,"Karthikeyan resolvio la estimacion de linajes en 295 dias en UCSD, alcanzo cobertura ~95% con cargas bajas, desarrollo Freyja (deconvolucion de proporcion de linajes) y detecto VOC hasta 14 dias antes que la clinica",Karthikeyan_2022,OK,
INTROC-SARS-07,Virus de interes: SARS-CoV-2,"En la PTAR Quitumbe se aplico Oxford Nanopore y Freyja para asignar linajes de Omicron desde muestreo pasivo, con deteccion ambiental de JN.1 antes de su identificacion clinica local",MejiaCalle_2024,OK,
INTROC-RSV-01,Virus de interes: RSV,"RSV es virus con envoltura y genoma ssRNA de sentido negativo, de la familia Pneumoviridae",Murray_2021,PARCIAL,"Murray 9a ed clasifica al VRS en la familia PARAMYXOVIRIDAE (Tabla 48.1), subfamilia Pneumovirinae, genero Pneumovirus; NO usa la familia 'Pneumoviridae'. Envoltura y ssRNA(-) si estan OK"
INTROC-RSV-02,Virus de interes: RSV,Se diferencian dos subgrupos antigenicos RSV-A y RSV-B cuya predominancia alterna entre temporadas,Lansivaara_2024;Zambrana_2024,OK,
INTROC-RSV-03,Virus de interes: RSV,En Estados Unidos RSV provoca hasta 80.000 hospitalizaciones pediatricas anuales,Zulli_2024,OK,
INTROC-RSV-04,Virus de interes: RSV,A escala global se atribuyen a RSV mas de 100.000 muertes anuales en menores de cinco anos,Zulli_2024,PARCIAL,"La fuente dice 'over 100,000 pediatric deaths worldwide', sin restringir a menores de 5 anos; el calificador '<5' en Zulli aplica a hospitalizaciones/urgencias, no a las muertes"
INTROC-RSV-05,Virus de interes: RSV,La aparicion de inmunizacion pasiva y de vacunas dirigidas incrementa la necesidad de observar la circulacion del virus y la diversidad de sus subgrupos,Mercier_2025,PARCIAL,"Mercier respalda inmunizacion pasiva (palivizumab, nirsevimab) y vacuna materna RSVpreF y la necesidad de vigilancia para guiar la inmunoprofilaxis; NO trata 'diversidad de subgrupos' RSV-A/B"
INTROC-RSV-06,Virus de interes: RSV,"Hughes establecio la asociacion entre el ARN de RSV en solidos sedimentados y la positividad clinica (Kendall tau = 0,65-0,77)",Hughes_2022,OK,
INTROC-RSV-07,Virus de interes: RSV,"Zulli extendio la deteccion a 176 sitios de EEUU en la temporada 2022-2023, con concentraciones hasta 10^7 copias/g correlacionadas con positividad y hospitalizacion a escala estatal y nacional",Zulli_2024,OK,
INTROC-RSV-08,Virus de interes: RSV,"Lansivaara evaluo vigilancia nacional en Finlandia con 150 muestras de diez plantas que cubren el 40% de la poblacion, correlaciones con incidencia de 0,41-0,87, y con incidencia >4 casos/100.000/semana el virus se detecto en todas las muestras",Lansivaara_2024,OK,
INTROC-RSV-09,Virus de interes: RSV,"Le desarrollo un flujo de amplificacion y WGS con Oxford Nanopore para muestras clinicas y de aguas residuales, con alta cobertura en cargas >10.000 copias/mL, e integro en RSVTyper la deteccion automatica de subgrupo y la seleccion de referencia",Le_2025,OK,
INTROC-RSV-10,Virus de interes: RSV,Zambrana mostro que la proporcion de RSV-A respecto al total de RSV puede medirse en solidos de aguas residuales y reproduce los cambios temporales y espaciales de subgrupos observados en muestras clinicas,Zambrana_2024,OK,
INTROC-RSV-11,Virus de interes: RSV,La representacion de datos genomicos de RSV es menor en los paises de ingresos bajos y medios,Le_2025,OK,
INTROC-ENT-01,Virus de interes: Enterovirus,"Los enterovirus son un genero de Picornaviridae, sin envoltura, con ARN de sentido positivo y transmision fecal-oral; agrupan numerosos serotipos, muchos excretados en heces y detectables en aguas residuales",Kissova_2022,OK,
INTROC-ENT-02,Virus de interes: Enterovirus,"El poliovirus (especie C) tiene genoma ssRNA(+) de ~7500 nucleotidos, capside icosaedrica de 60 protomeros con VP1-VP4, tres serotipos por neutralizacion, receptor CD155, transmision fecal-oral, replicacion intestinal y excrecion fecal de 2 a 4 semanas",Martin_2016,OK,
INTROC-ENT-03,Virus de interes: Enterovirus,"La paralisis flacida aguda se presenta solo en una fraccion de las infecciones, lo que limito la vigilancia clinica y motivo la vigilancia ambiental dentro de la GPEI",Martin_2016;Asghar_2014,OK,
INTROC-ENT-04,Virus de interes: Enterovirus,"En La Habana, tras una campana de vacunacion, el poliovirus dejo de aislarse en heces despues de la semana 7 pero siguio detectandose en aguas residuales hasta la semana 15 (ocho semanas mas)",MasLago_2003,OK,
INTROC-ENT-05,Virus de interes: Enterovirus,"La vacuna oral se elabora con poliovirus atenuados (cepas Sabin) que se excretan varias semanas; durante la replicacion el virus acumula mutaciones, algunas revierten la atenuacion y le devuelven neurovirulencia y transmisibilidad",Zurbriggen_2008,OK,
INTROC-ENT-06,Virus de interes: Enterovirus,La clasificacion compara VP1 con la cepa de Sabin: <1% de diferencia es Sabin-like y 1-15% es poliovirus derivado de vacuna,Zurbriggen_2008,OK,
INTROC-ENT-07,Virus de interes: Enterovirus,"Zurbriggen recupero 62 aislamientos Sabin-like en 20 de 174 muestras de aguas residuales de la region de Zurich entre 2004 y 2006, con Suiza ya en esquema IPV exclusivo, y tres cuartas partes con mutaciones de reversion",Zurbriggen_2008,OK,
INTROC-ENT-08,Virus de interes: Enterovirus,"Kissova documento la vigilancia ambiental de poliovirus y enterovirus no poliovirus en la Republica Eslovaca entre 1963 y 2019, con mas de mil aislamientos de poliovirus de origen vacunal",Kissova_2022,OK,
INTROC-ENT-09,Virus de interes: Enterovirus,"Klapsa detecto 118 aislamientos geneticamente vinculados de poliovirus tipo 2 relacionado con Sabin en el alcantarillado de Londres entre febrero y julio de 2022; habian perdido dos mutaciones atenuantes clave, una proporcion creciente cumplia el criterio de VDPV, y motivo una campana con IPV en ninos de 1 a 9 anos",Klapsa_2022,OK,
INTROC-ENT-10,Virus de interes: Enterovirus,"La deteccion de cVDPV2 en aguas residuales de Finlandia, Alemania, Polonia, Espana y Reino Unido en 2024 revelo cepas geneticamente relacionadas y activo una alerta sobre circulacion en territorios con alta capacidad de vigilancia",Bottcher_2025,OK,
INTROC-ENT-11,Virus de interes: Enterovirus,"Una revision sistematica contabilizo 26 detecciones ambientales de poliovirus en 21 paises entre 2013 y 2025, casi siempre sin casos de paralisis asociados",Lesenfants_2026,OK,
INTROC-ENT-12,Virus de interes: Enterovirus,La diferenciacion intratipica y la secuenciacion de la region VP1 permiten establecer relaciones geneticas para inferir el origen de un aislamiento,Asghar_2014;Klapsa_2022,OK,
INTROC-ENT-13,Virus de interes: Enterovirus,Shaw estimo que los flujos tradicionales de confirmacion de brotes de VDPV2 pueden tardar semanas y argumento que la deteccion molecular directa y la secuenciacion Nanopore acortan esos tiempos,Shaw_2022,OK,
