id,estado,evidencia_textual,refuerzo_pico,nota_contexto
CON-RES-01,CONFIRMADO,"Clados 24A/24H son salida propia de Nextclade (fig.: ""clado de Nextstrain (24A y 24H)""); MejiaCalle da el antecedente local de JN.1: ""se detecto el linaje JN.1 durante los picos de infeccion en Quito, en octubre de... y en algunos casos, incluso antes de ser identificadas [clinicamente]"" (00331348-MejiaCalle, resumen)","""22F, 23A, and 23I. This last lineage 23I (JN.1) has been dominant along 2024."" (bruno-2025, p.4)","Las etiquetas de clado 24A/24H son dato propio (Nextclade); las citas MejiaCalle/Crits respaldan el marco (JN.1 como antecedente local y capacidad de la secuenciacion de aguas para variantes regionales), no los rotulos de clado. Bruno_2025 documenta el dominio de JN.1 en 2024."
CON-RES-02,CONFIRMADO,"Hallazgo propio (Coxsackievirus A en 2 muestras); Bubba encuadra la vigilancia de enterovirus no polio en aguas: ""Wastewater Surveillance in Europe for Non-Polio Enteroviruses"" (microorganisms-11-02496, p.1)","""The prevalence of CVAs in the SR was previously low in the sewage, although these viruses have also increased over the last 20 years"" (viruses-14-01599, p.7)","La deteccion de Coxsackievirus A es dato propio; Bubba/Asghar aportan el contexto de vigilancia y Kissova confirma que se reportan CVA en aguas residuales, hallazgo comparable."
CON-RES-03,CONFIRMADO,"""Whole genomes (> 90% coverage) were obtained from 98% of samples with > 10,000 copies/mL, from 3/14 samples with 1,000-10,000 copies/mL, and from none with < 1,000 copies/mL."" (s41598-025-20371-5, p.1)","""Samples were considered to be untypable if both RSV A and RSV B were not detected."" (zambrana-2024, p.7)","La senal de RSV sin subgrupo es coherente con Le (genoma solo con >10.000 copias/mL) y con la nocion de muestra 'untypable' de Zambrana cuando no hay senal suficiente de A ni B."
CON-LIM-01,CONFIRMADO,"""We obtained complete consensus SARS-CoV-2 genomes (breadth of coverage >99%) from 7 of 22 samples (31%)... Only samples with RT-qPCR CT values <33 (~25 genome copies/ml) yielded complete consensus genomes"" (crits-christoph-2021, p.3)","""targeted... methods are limited to the surveillance of target viruses in a single assay and require prior knowledge... samples dominated by bacteria"" (child-et-al-2023, abstract p.1)","Crits liga Cq bajo a genoma completo, respaldando que Cq altos separan deteccion de caracterizacion; Child confirma limites de recuperacion a baja concentracion viral."
CON-LIM-02,CONFIRMADO,"Fallo de las muestras retrospectivas (Shield 2X/PBS 1X) es dato propio; MejiaCalle da el contexto de degradacion: ""The need to process samples immediately after device deployment to prevent RNA degradation is critical."" (00331348-MejiaCalle, p.61)","""The need to process samples immediately after device deployment to prevent RNA degradation is critical."" (00331348-MejiaCalle, p.61)","La no obtencion de secuencia por conservacion prolongada es dato propio; MejiaCalle sostiene el riesgo de degradacion del ARN por procesamiento tardio, respaldo comparable."
CON-LIM-03,CONFIRMADO,"Diseno temporal (escaso solapamiento; SARS no analizado sem 43-56) es dato propio de diseno","""Smyth et al. have suggested, cryptic lineages with lower viral loads may require more consistent and long-term monitoring to be effectively detected."" (00331348-MejiaCalle, p.61)","La limitacion de solapamiento temporal es dato propio; MejiaCalle respalda que linajes de baja carga exigen monitoreo sostenido a largo plazo, coherente con la limitacion."
CON-LIM-04,CONFIRMADO,"""The number of SARS-CoV-2 sequences... Colombia, 1.15% for Ecuador, 1.25% for Peru..."" (bruno-2025, p.5)","""The analysis of GISAID database revealed significant regional disparities in SARS-CoV-2 sequencing efforts"" (bruno-2025, p.7)","Bruno documenta a Ecuador con apenas 1,15% de las secuencias regionales y disparidades significativas en el esfuerzo de secuenciacion, lo que respalda la 'disponibilidad limitada' de datos genomicos clinicos afirmada."
CON-LIM-05,CONFIRMADO,"""targeted... methods are limited to the surveillance of target viruses in a single assay and require prior knowledge of the target viral genome"" (child-et-al-2023, abstract p.1)","""tools for SARS-CoV-2 lineage classification, such as pangolin and UShER... cannot estimate relative abundances of multiple SARS-CoV-2 lineages in samples with virus mixtures such as wastewater"" (s41586-022-05049-6, p.1)","Child respalda las limitaciones de los paneles dirigidos y Karthikeyan el problema de resolver abundancias relativas de linajes mezclados, coherente con el sesgo sobre variantes de baja abundancia."
CON-LIM-06,CONFIRMADO,"Cebadores VP1 amplificaron VP4 sin confirmar serotipo: dato propio de laboratorio","""are sequenced for Viral Protein 1 region (VP1) (~900-nucleotide... encodes several serotype specific antigenic sites"" (Poliovirus Methods and Protocols/Martin, p.28)","La falla de especificidad de los cebadores VP1 es dato propio; Martin sostiene que VP1 codifica los sitios antigenicos que definen el serotipo, por lo que amplificar VP4 impide la serotipificacion."
CON-IMP-01,CONFIRMADO,"""...to monitor an entire population (irrespective of symptoms or the ability to access clinical [testing])"" (parkins-2023, p.2)","""Environmental surveillance allowed early detection of poliovirus importation and circulation in London, permitting a rapid public health response, including enhanced surveillance and an inactivated polio vaccine campaign"" (PIIS0140673622018049, p.1)","Parkins respalda que la vigilancia ambiental monitorea a la poblacion al margen de la prueba clinica y Klapsa ejemplifica su valor para deteccion temprana; sostienen el valor del esquema multipatogeno."
